Fossils,Locality/Stratigraphy,Age,Reference,Node,Constraint
Caryanthus triasseris,"Peruc-sequence Bohemia, Czech Republic",93.6 Ma,Knobloch and Mai (1983),crown Fagales,"Fagus, Carya"
"Friisicarpus brookensis, Aquia brookensis, and Sapindopsis","Potomac Group, ñBank near Brookeî, Virginia, USA",105.8 Ma,Crane et al. (1993),Platanaceae-Nelumbonaceae split,"Nelumbo, Platanus"
Tricolpate pollen grains,"Yixian Formation, Dawangzhangzi Villeage, western Liaoning, China",125 Ma,"Leng and Friis (2003, 2006)",Eudicotyledonae,"Fagus, Platanus"
Palaeotaxus rediviva,"Upper coal bed, Skromberga Colliery, Scania, Sweden",197 Ma,Florin (1958),Taxaceae_Cupressaceae split,"Taxus, Thuja"
