"TreeName","Site","Species","ACC_NUM","ABBREV_NAME","COUNTRY_FULL","SUB_CNT1","SUB_CNT2","SUB_CNT3","LOCALITY","LAT_DEGREE","LAT_MINUTE","LAT_SECOND","LAT_DIR","LONG_DEGREE","LONG_MINUTE","LONG_SECOND","LONG_DIR","ALTITUDE","ALTITUDE_UNIT","DESCRIPTION","COLLECTION_MISC"
"787*F","Arnold Arboretum","Liriodendron tulipifera","787","Lirio. tulip.","United States","MA","","West Roxbury","","","",NA,"","","",NA,"","","","",""
"10724*B","Arnold Arboretum","Phellodendron amurense","10724","Phello. amur. var. laval.","Japan","","","","Tokyo","","",NA,"","","",NA,"","","","",""
"1769-77*A","Arnold Arboretum","Phellodendron amurense","1769-77","Phello. amur.","Japan","Hokkaido Pref.","Asahikawa","","Northern Plant Garden","","",NA,"","","",NA,"","","","",""
"181-79*A","Arnold Arboretum","Phellodendron amurense","181-79","Phello. amur.","Korea, Republic of","","","","Mt. Kyebang","","",NA,"","","",NA,"","3600","FT","",""
"7544*B","Arnold Arboretum","Phellodendron amurense","7544","Phello. amur. var. laval.","Japan","","","","Azuma","","",NA,"","","",NA,"","","","",""
"7544*C","Arnold Arboretum","Phellodendron amurense","7544","Phello. amur. var. laval.","Japan","","","","Azuma","","",NA,"","","",NA,"","","","",""
"7544*E","Arnold Arboretum","Phellodendron amurense","7544","Phello. amur. var. laval.","Japan","","","","Azuma","","",NA,"","","",NA,"","","","",""
"pheamu1","Arnold Arboretum-BBM","Phellodendron amurense","pheamu1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pheamu2","Arnold Arboretum-BBM","Phellodendron amurense","Pheamu2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pheamu3","Arnold Arboretum-BBM","Phellodendron amurense","Pheamu3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111-58*A","Arnold Arboretum","Platanus occidentalis","111-58","Plat. occid.","United States","Massachusetts","","Wayland","","","",NA,"","","",NA,"","","","",""
"111-58*B","Arnold Arboretum","Platanus occidentalis","111-58","Plat. occid.","United States","Massachusetts","","Wayland","","","",NA,"","","",NA,"","","","",""
"1236-79*A","Arnold Arboretum","Platanus occidentalis","1236-79","Plat. occid.","United States","Missouri","","","Route 51, 5 miles southwest of McBride","","",NA,"","","",NA,"","","","",""
"1236-79*B","Arnold Arboretum","Platanus occidentalis","1236-79","Plat. occid.","United States","Missouri","","","Route 51, 5 miles southwest of McBride","","",NA,"","","",NA,"","","","",""
"1236-79*D","Arnold Arboretum","Platanus occidentalis","1236-79","Plat. occid.","United States","Missouri","","","Route 51, 5 miles southwest of McBride","","",NA,"","","",NA,"","","","",""
"1726-81*A","Arnold Arboretum","Platanus occidentalis","1726-81","Plat. occid.","Canada","Ontario","Brant County","","Brantford Tp., Nith River flood plain","43","11",NA,"N","080","24",NA,"W","229","M","",""
"1726-81*B","Arnold Arboretum","Platanus occidentalis","1726-81","Plat. occid.","Canada","Ontario","Brant County","","Brantford Tp., Nith River flood plain","43","11",NA,"N","080","24",NA,"W","229","M","",""
"16611*F","Arnold Arboretum","Populus deltoides","16611","Pop. delt. ssp. delt.","Canada","Quebec","","Chateauguay","","","",NA,"","","",NA,"","","","","August 1895 and September 1896"
"16611*H","Arnold Arboretum","Populus deltoides","16611","Pop. delt. ssp. delt.","Canada","Quebec","","Chateauguay","","","",NA,"","","",NA,"","","","","August 1895 and September 1896"
"16611*J","Arnold Arboretum","Populus deltoides","16611","Pop. delt. ssp. delt.","Canada","Quebec","","Chateauguay","","","",NA,"","","",NA,"","","","","August 1895 and September 1896"
"16611*K","Arnold Arboretum","Populus deltoides","16611","Pop. delt. ssp. delt.","Canada","Quebec","","Chateauguay","","","",NA,"","","",NA,"","","","","August 1895 and September 1896"
"16611*O","Arnold Arboretum","Populus deltoides","16611","Pop. delt. ssp. delt.","Canada","Quebec","","Chateauguay","","","",NA,"","","",NA,"","","","","August 1895 and September 1896"
"popdel 2b","Arnold Arboretum","Populus deltoides","popdel 2b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel 3","Arnold Arboretum","Populus deltoides","popdel 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel 4","Arnold Arboretum","Populus deltoides","popdel 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel 5","Arnold Arboretum","Populus deltoides","popdel 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel1","Arnold Arboretum","Populus deltoides","popdel1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel2a","Arnold Arboretum","Populus deltoides","popdel2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel6","Arnold Arboretum","Populus deltoides","popdel6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel7","Arnold Arboretum","Populus deltoides","popdel7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"popdel8","Arnold Arboretum","Populus deltoides","popdel8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250-80*A","Arnold Arboretum","Pyrus calleryana var. dimorphophylla","250-80","Pyrus call. var. dimorph.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"250-80*E","Arnold Arboretum","Pyrus calleryana var. dimorphophylla","250-80","Pyrus call. var. dimorph.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"731-81*B","Arnold Arboretum","Pyrus calleryana var. dimorphophylla","731-81","Pyrus call. var. dimorph.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"731-81*F","Arnold Arboretum","Pyrus calleryana var. dimorphophylla","731-81","Pyrus call. var. dimorph.","Japan","","","","","","",NA,"","","",NA,"","","","",""
"10569*A","Arnold Arboretum","Pyrus pyrifolia","10569","Pyrus pyrifolia","China","Chihli Province","Malanyu","","","","",NA,"","","",NA,"","","","",""
"23189*A","Arnold Arboretum","Pyrus pyrifolia","23189","Pyrus pyrif. f. stapf.","China","W. Hubei (W. Hupeh)","Ichang","","","","",NA,"","","",NA,"","","","",""
"7272*A_long","Arnold Arboretum","Pyrus pyrifolia","7272","Pyrus pyrifolia","China","W. Hubei (W. Hupeh)","Ichang","","","","",NA,"","","",NA,"","1000","M","Tree 7 m. tall, flowers white, fruit globose; seeds only",""
"7272*C","Arnold Arboretum","Pyrus pyrifolia","7272","Pyrus pyrifolia","China","W. Hubei (W. Hupeh)","Ichang","","","","",NA,"","","",NA,"","1000","M","Tree 7 m. tall, flowers white, fruit globose; seeds only",""
"11728*A","Arnold Arboretum","Pyrus ussuriensis var. hondoensis","11728","Pyrus ussur. var. hondo.","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"11728*B","Arnold Arboretum","Pyrus ussuriensis var. hondoensis","11728","Pyrus ussur. var. hondo.","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"11728*C","Arnold Arboretum","Pyrus ussuriensis var. hondoensis","11728","Pyrus ussur. var. hondo.","Country Unknown","","","","","","",NA,"","","",NA,"","","","",""
"117456*B","Arnold Arboretum","Pyrus ussuriensis var. hondoensis","117456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
