"TreeName","Site","Species","ACC_NUM","ABBREV_NAME","COUNTRY_FULL","SUB_CNT1","SUB_CNT2","SUB_CNT3","LOCALITY","LAT_DEGREE","LAT_MINUTE","LAT_SECOND","LAT_DIR","LONG_DEGREE","LONG_MINUTE","LONG_SECOND","LONG_DIR","ALTITUDE","ALTITUDE_UNIT","DESCRIPTION","COLLECTION_MISC"
"tiljap","Arnold Arboretum-BBM","Tilia japonica","tiljap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17908-1*B","Arnold Arboretum","Ulmus laciniata","17908-1","U. lacin. var. nikko.","Japan","","","","Lake Chuzenji","","",NA,"","","",NA,"","","","",""
"17908-1*C","Arnold Arboretum","Ulmus laciniata","17908-1","U. lacin. var. nikko.","Japan","","","","Lake Chuzenji","","",NA,"","","",NA,"","","","",""
"17908*D","Arnold Arboretum","Ulmus laciniata","17908","U. lacin. var. nikko.","Japan","","","","Lake Chuzenji","","",NA,"","","",NA,"","","","",""
"1813-77*A","Arnold Arboretum","Zelkova serrata","1813-77","Z. serrata","Korea, Republic of","Kyonggi-do","Yongmun-san","","along the trail to the temple","","",NA,"","","",NA,"","","","",""
"1813-77*B","Arnold Arboretum","Zelkova serrata","1813-77","Z. serrata","Korea, Republic of","Kyonggi-do","Yongmun-san","","along the trail to the temple","","",NA,"","","",NA,"","","","",""
"1813-77*C","Arnold Arboretum","Zelkova serrata","1813-77","Z. serrata","Korea, Republic of","Kyonggi-do","Yongmun-san","","along the trail to the temple","","",NA,"","","",NA,"","","","",""
"1813-77*D","Arnold Arboretum","Zelkova serrata","1813-77","Z. serrata","Korea, Republic of","Kyonggi-do","Yongmun-san","","along the trail to the temple","","",NA,"","","",NA,"","","","",""
"1813-77*E","Arnold Arboretum","Zelkova serrata","1813-77","Z. serrata","Korea, Republic of","Kyonggi-do","Yongmun-san","","along the trail to the temple","","",NA,"","","",NA,"","","","",""
"1813-77*F","Arnold Arboretum","Zelkova serrata","1813-77","Z. serrata","Korea, Republic of","Kyonggi-do","Yongmun-san","","along the trail to the temple","","",NA,"","","",NA,"","","","",""
