"","Accession","Species","LeafBudburst","LeafEmerg"
"50","1813-77*C","Zelkova_serrata","2015-04-27","2015-05-04"
"51","1813-77*A","Zelkova_serrata","2015-04-27","2015-05-04"
"52","1813-77*B","Zelkova_serrata","2015-04-27","2015-05-04"
"53","629-83*D","Betula_alleghaniensis","2015-04-20","2015-05-04"
"54","1265-79*E","Fraxinus_mandshurica","2015-05-04","2015-05-12"
"55","1422-83*B","Fraxinus_pennsylvanica","2015-05-04","2015-05-12"
"56","1245-79*A","Catalpa_speciosa","2015-05-12","2015-06-03"
"57","1245-79*B","Catalpa_speciosa","2015-05-12","2015-06-03"
"58","186-82*A","Fraxinus_pennsylvanica","2015-05-04","2015-05-12"
"59","910-77*A","Fraxinus_chinensis_var_rhynchophylla","2015-05-04","2015-05-12"
"60","537-81*A","Fraxinus_sieboldiana","2015-05-12","2015-05-12"
"61","911-77*A","Fraxinus_chinensis","2015-05-12","2015-05-12"
"62","911-77*C","Fraxinus_chinensis","2015-05-12","2015-05-12"
"63","439-80*C","Fraxinus_chinensis","2015-05-04","2015-05-12"
"64","439-80*D","Fraxinus_chinensis","2015-05-04","2015-05-12"
"65","14615*B","Fraxinus_chinensis","2015-05-04","2015-05-04"
"66","1265-79*D","Fraxinus_mandshurica","2015-05-04","2015-05-12"
"67","17908-1*B","Ulmus_laciniata_var_nikkoensis","2015-04-20","2015-05-04"
"68","17908-1*C","Ulmus_laciniata_var_nikkoensis","2015-04-20","2015-05-04"
"69","17908*D","Ulmus_laciniata_var_nikkoensis","2015-04-20","2015-05-04"
"70","1474-81*C","Thuja_plicata","2015-05-12","2015-05-18"
"71","304-78*A","Pinus_nigra","2015-06-03","2015-06-09"
"72","5859*B","Quercus_rubra","2015-04-27","2015-05-04"
"73","16847*E","Quercus_macrocarpa","2015-05-04","2015-05-12"
"74","1248-79*B","Liquidambar_styraciflua","2015-05-04","2015-05-12"
"75","1248-79*A","Liquidambar_styraciflua","2015-04-27","2015-05-12"
"76","1236-79*A","Platanus_occidentalis","2015-05-04","2015-05-12"
"77","1236-79*B","Platanus_occidentalis","2015-05-12","2015-05-12"
"78","1726-81*A","Platanus_occidentalis","2015-05-04","2015-05-12"
"79","1236-79*D","Platanus_occidentalis","2015-05-12","2015-05-12"
"80","111-58*A","Platanus_occidentalis","2015-05-12","2015-05-12"
"81","111-58*B","Platanus_occidentalis","2015-05-12","2015-05-12"
"82","7321*A","Carya_ovata","2015-04-21","2015-05-12"
"83","12907*I","Carya_ovata","2015-04-21","2015-05-12"
"84","12907*G","Carya_ovata","2015-04-21","2015-05-12"
"85","12907*N","Carya_ovata","2015-04-21","2015-05-12"
"86","12907*B","Carya_ovata","2015-04-21","2015-05-12"
"87","12907*D","Carya_ovata","2015-04-21","2015-05-12"
"88","7873*A","Carya_glabra","2015-04-21","2015-05-12"
"89","12907*Q","Carya_ovata","2015-04-21","2015-05-12"
"90","7947*A","Carya_ovata","2015-04-21","2015-05-12"
"91","6986*A","Carya_ovata","2015-04-21","2015-05-12"
"92","20095*A","Carya_glabra","2015-04-21","2015-05-12"
"93","2019*I","Carya_glabra","2015-04-21","2015-05-12"
"94","2019*O","Carya_glabra","2015-04-21","2015-05-12"
"95","20098*A","Carya_glabra","2015-04-21","2015-05-12"
"96","2019*S","Carya_glabra","2015-04-21","2015-05-12"
"97","2019*R","Carya_glabra","2015-04-21","2015-05-12"
"98","2019*B","Carya_glabra","2015-04-21","2015-05-12"
"99","2019*C","Carya_glabra","2015-04-21","2015-05-12"
"100","6990*A","Carya_glabra","2015-04-21","2015-05-04"
"101","8188*A","Carya_glabra","2015-04-21","2015-05-12"
"102","1248-79*C","Liquidambar_styraciflua","2015-05-12","2015-05-12"
"103","16847*M","Quercus_macrocarpa","2015-05-04","2015-05-25"
"104","16847*J","Quercus_macrocarpa","2015-05-04","2015-05-25"
"105","7598*B","Quercus_coccinea","2015-05-04","2015-05-04"
"106","7598*A","Quercus_coccinea","2015-05-04","2015-05-04"
"107","16847*F","Quercus_macrocarpa","2015-05-04","2015-05-04"
"108","11253*A","Quercus_rubra","2015-05-04","2015-05-25"
"109","8197*A","Quercus_rubra","2015-05-04","2015-05-25"
"110","16882*B","Quercus_rubra","2015-05-04","2015-05-25"
