Loop,Ord,ACC_NUM,Species,Loc,BBNE_no01,BBNE_no02,BBNE_no03,BBNE_no04,BBNE_no05,BBNE_no06,BBNE_no07,BBNE_no08,BBNE_no09,BBNE_no10,BBNE_no11,Date01,Date02,Date03,Date04,Date05,Date06,Date07,Date08,Date09,Date10,Date11,FullExpLvs_no01,FullExpLvs_no02,FullExpLvs_no03,FullExpLvs_no04,FullExpLvs_no05,FullExpLvs_no06,FullExpLvs_no07,FullExpLvs_no08,FullExpLvs_no09,FullExpLvs_no10,FullExpLvs_no11,ILS_perc01,ILS_perc02,ILS_perc03,ILS_perc04,ILS_perc05,ILS_perc06,ILS_perc07,ILS_perc08,ILS_perc09,ILS_perc10,ILS_perc11,L_YN_01,L_YN_02,L_YN_03,L_YN_04,L_YN_05,L_YN_06,L_YN_07,L_YN_08,L_YN_09,L_YN_10,L_YN_11
,,815-62*C,Metasequoia_glyptostroboides,3-NE,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,1001-10000,>10000,>10000,,>10000,>10000,>10000
,,815-62*B,Metasequoia_glyptostroboides,3-NE,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,101-1000,>10000,>10000,,>10000,>10000,>10000
,,814-62*A,Metasequoia_glyptostroboides,3-NE,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,1001-10000,>10000,>10000,,>10000,>10000,>10000
,,814-62*D,Metasequoia_glyptostroboides,3-NE,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,11-100,>10000,>10000,,>10000,>10000,>10000
,,524-48*DD,Metasequoia_glyptostroboides,3-SE,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,1001-10000,>10000,>10000,,>10000,>10000,>10000
,,220-60*F,Cedrus_libani,1-SE,<3,<3,<3,<3,<3,1001-10000,101-1000,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,1001-10000,,>10000,>10000,>10000
,6.5,16521*A,Picea_wilsonii,3-NW,<3,<3,<3,<3,<3,>10000,>10000,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,>10000,,>10000,>10000,>10000
,6.5,448-68*A,Cedrus_libani,3-NW,<3,<3,<3,<3,<3,<3,11-100,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,1001-10000,,>10000,>10000,>10000
,6.5,6284*G,Picea_asperata,2-NE,<3,<3,<3,<3,<3,1001-10000,>10000,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,11-100,>10000,,>10000,>10000,>10000
,,7707*C,Picea_koyamai,2-NE,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,<5,,>10000,>10000,>10000
,,7707*F,Picea_koyamai,2-SE,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,<5,,>10000,>10000,>10000
,,7707*G,Picea_koyamai,2-SE,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,<5,,>10000,>10000,>10000
,10,4697*P,Cedrus_libani,2-SE,<3,<3,<3,<3,<3,1001-10000,11-100,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,101-1000,>10000,,>10000,>10000,>10000
,11,7707*K,Picea_koyamai,2-SE,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,<5,,>10000,>10000,>10000
,11.5,1038-80*A,Liriodendron_tulipifera,2-SE,<3,<3,101-1000,1001-10000,1001-10000,1001-10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,12,945-63*A,Tilia_japonica,7-SW,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,25-49,>95,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,13,7544*E,Phellodendron_amurense,10-NW,<3,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,>95,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,>95,,>95,>95,>95
,14,925-79*B,Aesculus_flava,10-NE,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,50-74,>95,>95,,>95,>95,>95,<5,<5,<5,75-95,>95,>95,>95,,>95,>95,>95
