"","X","Accession","Species","LeafBudburst","LeafEmerg","LeafBBdoy","LeafEmergdoy"
"71",71,"304-78*A","Pinus_nigra","2015-06-03","2015-06-09",153,159
"72",72,"5859*B","Quercus_rubra","2015-04-27","2015-05-04",116,123
"73",73,"16847*E","Quercus_macrocarpa","2015-05-04","2015-05-12",123,131
"74",74,"1248-79*B","Liquidambar_styraciflua","2015-05-04","2015-05-12",123,131
"75",75,"1248-79*A","Liquidambar_styraciflua","2015-04-27","2015-05-12",116,131
"76",76,"1236-79*A","Platanus_occidentalis","2015-05-04","2015-05-12",123,131
"77",77,"1236-79*B","Platanus_occidentalis","2015-05-12","2015-05-12",131,131
"78",78,"1726-81*A","Platanus_occidentalis","2015-05-04","2015-05-12",123,131
"79",79,"1236-79*D","Platanus_occidentalis","2015-05-12","2015-05-12",131,131
"80",80,"111-58*A","Platanus_occidentalis","2015-05-12","2015-05-12",131,131
"81",81,"111-58*B","Platanus_occidentalis","2015-05-12","2015-05-12",131,131
"82",82,"7321*A","Carya_ovata","2015-04-21","2015-05-12",110,131
"83",83,"12907*I","Carya_ovata","2015-04-21","2015-05-12",110,131
"84",84,"12907*G","Carya_ovata","2015-04-21","2015-05-12",110,131
"85",85,"12907*N","Carya_ovata","2015-04-21","2015-05-12",110,131
"86",86,"12907*B","Carya_ovata","2015-04-21","2015-05-12",110,131
"87",87,"12907*D","Carya_ovata","2015-04-21","2015-05-12",110,131
"88",88,"7873*A","Carya_glabra","2015-04-21","2015-05-12",110,131
"89",89,"12907*Q","Carya_ovata","2015-04-21","2015-05-12",110,131
"90",90,"7947*A","Carya_ovata","2015-04-21","2015-05-12",110,131
"91",91,"6986*A","Carya_ovata","2015-04-21","2015-05-12",110,131
"92",92,"20095*A","Carya_glabra","2015-04-21","2015-05-12",110,131
"93",93,"2019*I","Carya_glabra","2015-04-21","2015-05-12",110,131
"94",94,"2019*O","Carya_glabra","2015-04-21","2015-05-12",110,131
"95",95,"20098*A","Carya_glabra","2015-04-21","2015-05-12",110,131
"96",96,"2019*S","Carya_glabra","2015-04-21","2015-05-12",110,131
"97",97,"2019*R","Carya_glabra","2015-04-21","2015-05-12",110,131
"98",98,"2019*B","Carya_glabra","2015-04-21","2015-05-12",110,131
"99",99,"2019*C","Carya_glabra","2015-04-21","2015-05-12",110,131
"100",100,"6990*A","Carya_glabra","2015-04-21","2015-05-04",110,123
"101",101,"8188*A","Carya_glabra","2015-04-21","2015-05-12",110,131
"102",102,"1248-79*C","Liquidambar_styraciflua","2015-05-12","2015-05-12",131,131
"103",103,"16847*M","Quercus_macrocarpa","2015-05-04","2015-05-25",123,144
"104",104,"16847*J","Quercus_macrocarpa","2015-05-04","2015-05-25",123,144
"105",105,"7598*B","Quercus_coccinea","2015-05-04","2015-05-04",123,123
"106",106,"7598*A","Quercus_coccinea","2015-05-04","2015-05-04",123,123
"107",107,"16847*F","Quercus_macrocarpa","2015-05-04","2015-05-04",123,123
"108",108,"11253*A","Quercus_rubra","2015-05-04","2015-05-25",123,144
"109",109,"8197*A","Quercus_rubra","2015-05-04","2015-05-25",123,144
"110",110,"16882*B","Quercus_rubra","2015-05-04","2015-05-25",123,144
"111",111,"358-82*A","Quercus_alba","2015-05-12","2015-05-12",131,131
"112",112,"1225-78*A","Thuja_plicata","2015-05-12","2015-05-25",131,144
"113",113,"1264-80*B","Quercus_glandulifera","2015-05-04","2015-05-12",123,131
"114",114,"970-79*B","Carpinuscaroliniana","2015-04-27","2015-05-12",116,131
"115",115,"14585*D","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
"116",116,"14585*B","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
"117",117,"14585*C","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
"118",118,"14585*G","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
"119",119,"14585*J","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
"120",120,"6782*B","Fagus_grandifolia","2015-05-04","2015-05-04",123,123
"121",121,"383-27*B","Fagus_engleriana","2015-04-27","2015-05-04",116,123
"122",122,"383-27*A","Fagus_engleriana","2015-04-27","2015-05-04",116,123
"123",123,"7416*A","Fagus_engleriana","2015-04-28","2015-05-04",117,123
"124",124,"14585*W","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
"125",125,"14585*V","Fagus_grandifolia","2015-04-28","2015-05-04",117,123
