Species,AccessionNumber,WaterDisplaced_mg,TwigVolume_cm3,DateProcessed,Name,Twig+Envelope_mg,Envelope_mg,TwigDryMass_mg,DateProcessed,Name,,,,,,,,,,,,,,,,,,,
CEDLIB,4697*O,1472,1.472,7/22/15,Silvia,2060,1390,670,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CEDLIB,220-60*F,1370,1.37,7/22/15,Silvia,2200,1400,800,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CEDLIB,4697*I,4099,4.099,7/22/15,Silvia,3510,1410,2100,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CEDLIB,4697*M,3392,3.392,7/22/15,Silvia,3240,1400,1840,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CEDLIB,220-60*D,5795,5.795,7/22/15,Silvia,4600,1410,3190,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CEDLIB,4697*G,1950,1.95,7/22/15,Silvia,2460,1400,1060,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CEDLIB,448-68*A,2067,2.067,7/22/15,Silvia,2250,1400,850,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CEDLIB,4697*P,1604,1.604,7/22/15,Silvia,2460,1390,1070,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CHATHY,13047*C,4327,4.327,7/22/15,Silvia,3710,1400,2310,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CHATHY,13047*A,4268,4.268,7/22/15,Silvia,3520,1400,2120,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CRACRUGAL,18912*A,604,0.604,7/17/15,Sally,1840,1390,450,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
CRACRUGAL,18918*A,744,0.744,7/17/15,Sally,1890,1390,500,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
CRACRUGAL,5053*A,1120,1.12,7/17/15,Sally,2030,1370,660,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
CRACRUGAL,5029*A,1040,1.04,7/17/15,Sally,2050,1400,650,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
CRACRUGAL,11913*A,991,0.991,7/17/15,Sally,2080,1410,670,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
CRYJAP,1180-50*A,1812,1.812,7/29/15,Silvia,2710,1860,850,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CRYJAP,838-53*A,2466,2.466,7/29/15,Silvia,3270,1880,1390,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
FAGENG,383-27*B,1314,1.314,8/4/15,Sally,2520,1810,710,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FAGENG,383-27*A,1242,1.242,8/4/15,Sally,2500,1810,690,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FAGENG,7416*A,1198,1.198,8/4/15,Sally,2490,1820,670,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FAGENG,7416*B,1873,1.873,8/4/15,Sally,2840,1820,1020,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FAGGRA,14585*C,1839,1.839,7/28/15,Silvia,2950,1810,1140,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
FAGGRA,14585*D,1929,1.929,9/18/15,Sally,3240,1830,1410,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
FAGGRA,14585*J,1464,1.464,9/18/15,Sally,2820,1850,970,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
FRACHI,911-77*A,1478,1.478,7/21/15,Sally,2150,1390,760,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FRACHI,911-77*C,1430,1.43,7/21/15,Sally,2220,1390,830,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FRACHI,439-80*C,1170,1.17,7/21/15,Sally,2020,1380,640,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FRACHI,439-80*D,1016,1.016,7/21/15,Sally,1880,1350,530,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FRACHI,14615*B,1144,1.144,7/21/15,Sally,1930,1350,580,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
FRAPEN,186-82*C,1544,1.544,7/30/15,Silvia,2190,1420,770,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
GLETRI,13218*A,1032,1.032,7/17/15,Sally,2060,1380,680,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
GLETRI,1237-79*B,1257,1.257,8/4/15,Sally,2770,1840,930,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
GLETRI,1237-79*C,1269,1.269,7/17/15,Sally,2410,1390,1020,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
GLETRI,14681-1*A,963,0.963,7/17/15,Sally,2030,1380,650,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
GLETRI,21588*A,1032,1.032,7/17/15,Sally,2230,1390,840,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
KALSEP,12453*C,1128,1.128,7/6/15,Silvia,2620,1920,700,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
KALSEP,12453*A,929,0.929,7/6/15,Silvia,2470,1880,590,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARDEC,1171-67*B,2014,2.014,7/7/15,Silvia,2900,1840,1060,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARDEC,1296-83*A,3097,3.097,7/7/15,Silvia,3560,1900,1660,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARDEC,14936*C,2491,2.491,7/7/15,Silvia,3310,1900,1410,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
LARDEC,1171-67*A,3089,3.089,7/7/15,Silvia,3560,1870,1690,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
