Species,AccessionNumber,WaterDisplaced_mg,TwigVolume_cm3,DateProcessed,Name,Twig+Envelope_mg,Envelope_mg,TwigDryMass_mg,DateProcessed,Name,,,,,,,,,,,,,,,,,,,
PINTHU,11371*G,3547,3.547,7/22/15,Silvia,3510,1360,2150,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTHU,11371*J,1875,1.875,7/28/15,Silvia,2690,1840,850,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTHU,16592*D,1980,1.98,7/28/15,Silvia,3040,1790,1250,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTHU,11371*M,4602,4.602,7/28/15,Silvia,4030,1860,2170,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTHU,16592*E,3400,3.4,7/30/15,Silvia,3240,1380,1860,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PLAOCC,1236-79*A,1597,1.597,7/21/15,Sally,2170,1380,790,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PLAOCC,1236-79*B,1532,1.532,7/21/15,Sally,2100,1370,730,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PLAOCC,1236-79*D,1266,1.266,7/21/15,Sally,2020,1370,650,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PLAOCC,111-58*A,2016,2.016,7/21/15,Sally,2430,1370,1060,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PLAOCC,111-58*B,1375,1.375,7/21/15,Sally,2000,1390,610,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
POPDELSSPDEL,16611*F,1171,1.171,8/4/15,Sally,2340,1820,520,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
POPDELSSPDEL,16611*J,993,0.993,8/4/15,Sally,2260,1820,440,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
POPDELSSPDEL,16611*K,835,0.835,8/4/15,Sally,2190,1810,380,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
POPDELSSPDEL,16611*O,1455,1.455,8/4/15,Sally,2440,1820,620,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
POPDELSSPDEL,22099*A,790,0.79,8/4/15,Sally,2160,1810,350,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PSEMEN,16780*M,4123,4.123,7/16/15,Silvia,3370,1400,1970,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PSEMEN,1279-64*B,4511,4.511,7/16/15,Silvia,4160,1400,2760,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PSEMEN,16780*L,5237,5.237,7/30/15,Silvia,4750,1430,3320,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PYRCALVARDIM,250-80*E,1890,1.89,8/4/15,Sally,2920,1840,1080,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PYRCALVARDIM,250-80*A,1381,1.381,8/4/15,Sally,2570,1830,740,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PYRCALVARDIM,10793*A,1741,1.741,7/17/15,Sally,2440,1410,1030,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PYRPYR,10569*A,1264,1.264,7/30/15,Silvia,2080,1380,700,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PYRPYR,7272*A,1783,1.783,7/30/15,Silvia,2390,1380,1010,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PYRPYRSTA,23189*A,1420,1.42,7/30/15,Silvia,2100,1380,720,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PYRUSS,17456*B,2515,2.515,7/30/15,Silvia,3040,1360,1680,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PYRUSSVARHON,11728*C,1318,1.318,8/4/15,Sally,2610,1860,750,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PYRUSSVARHON,11728*A,1376,1.376,7/17/15,Sally,2230,1340,890,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PYRUSSVARHON,17456*A,1722,1.722,7/17/15,Sally,2420,1350,1070,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PYRUSSVARHON,11728*B,2296,2.296,7/17/15,Sally,2650,1350,1300,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
QUEALB,611-2010*A,2105,2.105,7/30/15,Silvia,2570,1420,1150,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEALB,611-2010*A,1621,1.621,8/4/15,Sally,2880,1860,1020,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
QUEALB,227-2011*A,2421,2.421,9/18/15,Sally,3480,1860,1620,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEALIACU,16795*A,2147,2.147,7/28/15,Silvia,3070,1820,1250,11/21/15,RIsa,,,,,,,,,,,,,,,,,,,
QUEALIACU,18409*A,1812,1.812,10/7/15,Sally,3030,1870,1160,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUECOC,7598*B,1799,1.799,7/28/15,Silvia,3020,1810,1210,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUECOC,7598*H,2506,2.506,9/18/15,Sally,3500,1860,1640,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUECOC,7598*A,1147,1.147,9/18/15,Sally,2650,1850,800,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUECOC,20517*B,1642,1.642,10/7/15,Sally,3060,1830,1230,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUECOC,7598*J,2706,2.706,10/7/15,Sally,3690,1860,1830,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUECOC,20517*A,1710,1.71,10/7/15,Sally,3200,1850,1350,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEDEN,1590-52*B,1293,1.293,10/6/15,Sally,2700,1830,870,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEDEN,16816*A,1399,1.399,10/6/15,Sally,2860,1820,1040,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEDEN,16815*A,1735,1.735,10/6/15,Sally,3070,1850,1220,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEDEN,1590-52*C,1566,1.566,10/6/15,Sally,2700,1830,870,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEGLA,1264-80*B,3227,3.227,7/29/15,Silvia,3740,1860,1880,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEGLA,1211-77*B,1470,1.47,7/30/15,Silvia,2210,1380,830,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEGLA,16823*B,1162,1.162,10/7/15,Sally,2620,1850,770,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEGLA,16823*K,1643,1.643,10/7/15,Sally,2960,1860,1100,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEMAC,16847*J,1406,1.406,10/6/15,Sally,2880,1860,1020,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEMAC,16847*E,1043,1.043,10/6/15,Sally,2510,1830,680,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEMAC,16847*M,1149,1.149,10/6/15,Sally,2610,1820,790,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUERUB,16882*B,2221,2.221,7/28/15,Silvia,3050,1820,1230,11/7/15,Sally,second envelope w same label: 3160-1810=1350 11/21 Risa,,,,,,,,,,,,,,,,,,
QUERUB,5859*A,4243,4.243,7/28/15,Silvia,4440,1850,2590,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUERUB,5859*B,1686,1.686,9/16/15,Sally,2840,1810,1030,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
QUERUB,8917*A,1683,1.683,9/18/15,Sally,2890,1840,1050,11/20/15,Risa,,,,,,,,,,,,,,,,,,,
QUEVAR,3617*A,2150,2.15,10/6/15,Sally,3020,1820,1200,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEVAR,1581-77*F,1933,1.933,10/6/15,Sally,3410,1820,1590,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEVAR,17631*B,1774,1.774,10/6/15,Sally,3100,1830,1270,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEVAR,18053*A,1467,1.467,10/7/15,Sally,2750,1850,900,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1894-80*G,776,0.776,7/29/15,Silvia,2320,1880,440,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1539-80*H,1096,1.096,7/30/15,Silvia,2090,1400,690,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1894-80*A,1514,1.514,7/30/15,Silvia,2240,1380,860,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1894-80*B,1749,1.749,7/30/15,Silvia,2370,1370,1000,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1539-80*I,1291,1.291,7/30/15,Silvia,2110,1360,750,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1894-80*K,1332,1.332,7/30/15,Silvia,2200,1390,810,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1894-80*C,1053,1.053,10/6/15,Sally,2040,1410,630,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1894-80*D,1973,1.973,10/6/15,Sally,2600,1420,1180,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1539-80*A,1505,1.505,10/6/15,Sally,2290,1370,920,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1539-80*B,1792,1.792,10/6/15,Sally,2580,1420,1160,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
SORYUA,1539-80*C,1614,1.614,10/6/15,Sally,2790,1830,960,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
STYJAP,12221*A,760,0.76,7/11/15,Sally,2230,1800,430,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
STYJAP,1239-83*A,732,0.732,7/11/15,Sally,2270,1800,470,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
STYJAP,1239-83*C,698,0.698,7/11/15,Sally,2250,1810,440,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
STYJAP,17250*A,419,0.419,7/11/15,Sally,2060,1820,240,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TAXCUS,17404*A,4714,4.714,7/16/15,Silvia,4060,1430,2630,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TAXCUS,17404*C,5709,5.709,7/16/15,Silvia,4780,1400,3380,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TAXCUS,17404*D,4160,4.16,7/16/15,Silvia,3580,1410,2170,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
THUPLI,1549-81*B,1228,1.228,7/22/15,Silvia,2050,1390,660,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
THUPLI,1225-78*A,2261,2.261,7/22/15,Silvia,2610,1390,1220,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
THUPLI,17515*A,1727,1.727,7/22/15,Silvia,2460,1420,1040,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
THUPLI,17515*B,1730,1.73,7/22/15,Silvia,2420,1410,1010,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
THUPLI,1474-81*C,2421,2.421,7/22/15,Silvia,2510,1410,1100,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
THUPLI,17516*B,3466,3.466,7/22/15,Silvia,3120,1400,1720,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
THUPLI,17516*A,2305,2.305,7/22/15,Silvia,2540,1410,1130,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TILAME,19804*A,799,0.799,7/10/15,Sally,2030,1790,240,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILAME,1323-82*A,1139,1.139,7/10/15,Sally,2170,1840,330,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILAME,17527*D,657,0.657,7/10/15,Sally,2020,1850,170,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILAME,7141*A,708,0.708,7/10/15,Sally,1990,1840,150,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILAME,17538*A,728,0.728,7/10/15,Sally,2050,1830,220,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILJAP,945-63*A,544,0.544,7/10/15,Sally,1970,1810,160,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILJAP,3699*D,945,0.945,7/10/15,Sally,2140,1840,300,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILJAP,772-53*A,1048,1.048,7/10/15,Sally,2230,1840,390,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILJAP,147-86*A,1468,1.468,7/10/15,Sally,2290,1860,430,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TILJAP,147-86*C,616,0.616,7/10/15,Sally,1990,1830,160,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
TSUCAN,23084*H,4053,4.053,7/22/15,Silvia,3260,1390,1870,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,23084*A,6845,6.845,7/22/15,Silvia,4700,1380,3320,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,23084*R,6124,6.124,7/22/15,Silvia,4410,1850,2560,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,23084*G,4523,4.523,7/22/15,Silvia,4500,1380,3120,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,23084*D,5782,5.782,7/22/15,Silvia,3480,1400,2080,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,23084*E,5957,5.957,7/22/15,Silvia,4590,1380,3210,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,23084*B,2555,2.555,7/22/15,Silvia,2860,1400,1460,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,1509-1*A,4774,4.774,7/28/15,Silvia,4360,1370,2990,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,1001-98*A,2629,2.629,7/29/15,Silvia,3090,1850,1240,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,2196-98*A,2415,2.415,7/29/15,Silvia,3220,1860,1360,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,2878-98*A,3039,3.039,7/29/15,Silvia,3220,1860,1360,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,1204-98*A,3585,3.585,7/29/15,Silvia,3660,1860,1800,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,1058-98*A,3122,3.122,7/29/15,Silvia,3630,1860,1770,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAN,1196-98*A,4230,4.23,7/29/15,Silvia,4110,1880,2230,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUCAR,15803*B,3389,3.389,7/28/15,Silvia,3520,1830,1690,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
TSUHET,47-62*C,8269,8.269,7/28/15,Silvia,5740,1850,3890,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ULMLAC,17908*D,2277,2.277,7/31/15,Silvia,2630,1380,1250,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ULMLAC,17908-1*B,1023,1.023,7/31/15,Silvia,1940,1410,530,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ULMLAC,17908-1*C,2190,2.19,7/31/15,Silvia,2430,1400,1030,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ZELSER,1813-77*F,3606,3.606,7/31/15,Silvia,3340,1400,1940,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ZELSER,1813-77*D,3179,3.179,7/31/15,Silvia,3360,1400,1960,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ZELSER,1813-77*A,2305,2.305,7/31/15,Silvia,2800,1420,1380,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ZELSER,1813-77*C,2565,2.565,7/31/15,Silvia,2930,1420,1510,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ZELSER,1813-77*B,1884,1.884,7/31/15,Silvia,2440,1430,1010,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ZELSER,1813-77*E,2403,2.403,7/31/15,Silvia,3060,1410,1650,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
QUEGLA,16824*C,2458,2.458,9/21/15,Sally,3540,1820,1720,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
QUEGLA,3672*A,1569,1.569,9/21/15,Sally,2920,1810,1110,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
QUEGLA,3672*B,2419,2.419,9/21/15,Sally,3350,1800,1550,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
QUEGLA,3672*C,2272,2.272,9/21/15,Sally,330,1800,-1470,11/7/15,Sally,need to double check weight,,,,,,,,,,,,,,,,,,
