AccNum,LeafIDNum,leafbag_mass_mg,bag_mass_mg,leaf_mass_mg,leaf_wet_area
12907*N,5,7423,5853,1570,
12907*I,1,7909,5849,2060,
12907*I,2,8205,5789,2416,
12907*I,3,7942,5777,2165,
12907*I,4,7253,5842,1411,
12907*I,5,7869,5743,2126,
12907*G,1,9087,5693,3394,
12907*G,2,9361,5779,3582,
12907*G,3,9351,5666,3685,
12907*G,4,9352,5671,3681,
12907*G,5,9389,5831,3558,
12907*D,1,7671,5704,1967,
12907*D,2,8686,5647,3039,
12907*D,3,6777,5747,1030,
12907*D,4,6603,5655,948,
12907*D,5,7923,5695,2228,
7873*A,1,7479,5868,1611,
7873*A,2,6803,5800,1003,
7873*A,3,7047,5679,1368,
7873*A,4,6733,5692,1041,
7873*A,5,7613,5804,1809,
7321*A,1,7209,5793,1416,
7321*A,2,8446,5654,2792,
7321*A,3,7607,5722,1885,
7321*A,4,7145,5798,1347,
7321*A,5,6971,5657,1314,
12907*B,1,9570,5778,3792,
12907*B,2,8000,5736,2264,
12907*B,3,6995,5727,1268,
12907*B,4,6453,5659,794,
12907*B,5,7909,5712,2197,
7497*A,1,3057,1886,1171,
7497*A,2,3177,1877,1300,
7497*A,3,2895,1890,1005,
7497*A,4,3376,1884,1492,
7497*A,5,3479,1901,1578,
1245-79*C,1,5859,4565,1294,
1245-79*C,2,6582,4504,2078,
1245-79*C,3,5651,4542,1109,
1245-79*C,4,5710,4451,1259,
1245-79*C,5,6898,4455,2443,
2776*A,1,6169,4429,1740,
2776*A,2,5764,4436,1328,
2776*A,3,5387,4431,956,
2776*A,4,5566,4401,1165,
2776*A,5,6302,4487,1815,
2776*B,1,6026,4511,1515,
2776*B,2,5280,4511,769,
2776*B,3,5643,4366,1277,
2776*B,4,5152,4437,715,
2776*B,5,5724,4611,1113,
1245-79*B,1,5733,4517,1216,
1245-79*B,2,5976,4510,1466,
1245-79*B,3,5544,4547,997,
1245-79*B,4,5466,4464,1002,
1245-79*B,5,5512,4579,933,
1245-79*A,1,5162,4541,621,
1245-79*A,2,5317,4517,800,
1245-79*A,3,5285,4438,847,
1245-79*A,4,5477,4534,943,
1245-79*A,5,5141,4496,645,
220-60*B,1,1449,1423,26,
220-60*B,2,1421,1406,15,
220-60*B,3,1417,1398,19,
220-60*B,4,1406,1391,15,
220-60*B,5,1388,1377,11,
4697*G,1,1451,1431,20,
4697*G,2,1472,1453,19,
4697*G,3,1439,1426,13,
4697*G,4,1444,1426,18,
4697*G,5,1445,1425,20,
448-68*A,1,1413,1386,27,
448-68*A,2,1418,1397,21,
448-68*A,3,1403,1379,24,
448-68*A,4,1431,1405,26,
448-68*A,5,1404,1384,20,
220-60*D,1,1405,1387,18,
220-60*D,2,1405,1390,15,
220-60*D,3,1408,1390,18,
220-60*D,4,1410,1392,18,
220-60*D,5,1426,1410,16,
4697*M,1,1404,1396,8,
4697*M,2,1446,1436,10,
4697*M,3,1441,1428,13,
4697*M,4,1443,1434,9,
4697*M,5,1426,1415,11,
4697*O,1,1426,1420,6,
4697*O,2,1409,1401,8,
4697*O,3,1438,1430,8,
4697*O,4,1429,1422,7,
4697*I,1,1443,1424,19,
4697*I,2,1456,1436,20,
4697*I,3,1452,1436,16,
