AccNum,LeafIDNum,leafbag_mass_mg,bag_mass_mg,leaf_mass_mg,leaf_wet_area
16511*E,2,1856,1844,12,
16511*E,3,1873,1858,15,
16511*E,4,1876,1864,12,
16511*E,5,1889,1873,16,
16511*D,1,1836,1825,11,
16511*D,2,1820,1810,10,
16511*D,3,1846,1831,15,
16511*D,4,1817,1804,13,
16511*D,5,1832,1824,8,
16515*C,1,1833,1824,9,
16515*C,2,1840,1830,10,
16515*C,3,1859,1850,9,
16515*C,4,1827,1820,7,
16515*C,5,1853,1840,13,
16515*A,1,1882,1863,19,
16515*A,2,1899,1882,17,
16515*A,3,1887,1868,19,
16515*A,4,1826,1810,16,
16515*A,5,1876,1861,15,
7599*A,1,1896,1881,15,
7599*A,2,1835,1804,31,
7599*A,3,1838,1824,14,
7599*A,4,1857,1843,14,
7599*A,5,1844,1820,24,
16520*C,1,1804,1796,8,
16520*C,2,1850,1843,7,
16520*C,3,1831,1826,5,
16520*C,4,1853,1845,8,
16520*C,5,1866,1859,7,
16515*G,1,1915,1900,15,
16515*G,2,1876,1863,13,
16515*G,3,1845,1836,9,
16515*G,4,1844,1834,10,
16515*G,5,1836,1826,10,
16515*I,1,1895,1887,8,
16515*I,2,1827,1819,8,
16515*I,3,1836,1826,10,
16515*I,4,1855,1846,9,
16515*I,5,1843,1833,10,
16520*I,1,1882,1871,11,
16520*I,2,1904,1891,13,
16520*I,3,1840,1831,9,
16520*I,4,1871,1859,12,
16520*I,5,1868,1859,9,
16521*A,1,1901,1895,6,
16521*A,2,1812,1808,4,
16521*A,3,1841,1835,6,
16521*A,4,1835,1829,6,
16521*A,5,1846,1840,6,
16520*P,1,1840,1832,8,
16520*P,2,1873,1869,4,
16520*P,3,1818,1814,4,
16520*P,4,1852,1847,5,
16520*P,5,1879,1874,5,
16520*K,1,1890,1885,5,
16520*K,2,1853,1844,9,
16520*K,3,1848,1840,8,
16520*K,4,1874,1870,4,
16520*K,5,1829,1825,4,
16515*K,1,1842,1829,13,
16515*K,2,1909,1901,8,
16515*K,3,1870,1859,11,
16515*K,4,1832,1821,11,
16515*K,5,1850,1840,10,
16515*N,1,1392,1386,6,
16515*N,2,1371,1364,7,
16515*N,3,1384,1378,6,
16515*N,4,1401,1394,7,
16515*N,5,1408,1403,5,
16515*M,1,1412,1402,10,
16515*M,2,1418,1409,9,
16515*M,3,1416,1405,11,
16515*M,4,1432,1423,9,
16515*M,5,1445,1436,9,
1774-77*A,1,1473,1437,36,
1774-77*A,2,1466,1429,37,
1774-77*A,3,1467,1432,35,
1774-77*A,4,1457,1422,35,
1774-77*A,5,1467,1436,31,
1774-77*C,1,1489,1452,37,
1774-77*C,2,1491,1456,35,
1774-77*C,3,1470,1436,34,
1774-77*C,4,1478,1443,35,
1774-77*C,5,1459,1425,34,
16526*C,1,1441,1418,23,
16526*C,2,1452,1429,23,
16526*C,3,1455,1430,25,
16526*C,4,1458,1433,25,
16526*C,5,1476,1452,24,
1724-77*B,1,1401,1380,21,
1724-77*B,2,1391,1371,20,
1724-77*B,3,1402,1380,22,
1724-77*B,4,1401,1378,23,
1724-77*B,5,1409,1387,22,
11373*B,1,1920,1891,29,
11373*B,2,1917,1896,21,
11373*B,3,1936,1914,22,
11373*B,4,1889,1869,20,
11373*B,5,1886,1854,32,
16541*F,1,1404,1396,8,
16541*F,2,1409,1400,9,
16541*F,3,1409,1402,7,
16541*F,4,1419,1410,9,
16541*F,5,1441,1432,9,
16541*A,1,1423,1411,12,
16541*A,2,1426,1415,11,
16541*A,3,1419,1405,14,
16541*A,4,1410,1395,15,
16541*A,5,1412,1397,15,
16541*I,1,1466,1456,10,
16541*I,2,1440,1428,12,
16541*I,3,1427,1417,10,
16541*I,4,1440,1431,9,
16541*I,5,1443,1433,10,
16541*H,1,1383,1379,4,
16541*H,2,1403,1397,6,
16541*H,3,1407,1399,8,
16541*H,4,1423,1418,5,
16541*H,5,1435,1428,7,
11242*A,1,1478,1419,59,
11242*A,2,1459,1394,65,
11242*A,3,1503,1421,82,
11242*A,4,1502,1424,78,
11242*A,5,1486,1424,62,
1264-83*B,1,1615,1460,155,
1264-83*B,2,1598,1458,140,
1264-83*B,3,1602,1459,143,
1264-83*B,4,1588,1430,158,
1264-83*B,5,1570,1430,140,
1038-65*A,1,1524,1431,93,
1038-65*A,2,1504,1416,88,
1038-65*A,3,1487,1413,74,
1038-65*A,4,1503,1415,88,
1038-65*A,5,1498,1418,80,
304-87*A,1,1475,1414,61,
304-87*A,2,1489,1434,55,
304-87*A,3,1494,1437,57,
304-87*A,4,1506,1448,58,
304-87*A,5,1489,1437,52,
4802*E,1,1971,1877,94,
4802*E,2,1957,1864,93,
4802*E,3,1984,1893,91,
4802*E,4,1991,1897,94,
4802*E,5,1991,1897,94,
4802*D,1,1510,1423,87,
4802*D,2,1486,1408,78,
4802*D,3,1469,1388,81,
4802*D,4,1460,1378,82,
4802*D,5,1464,1384,80,
4802*C,1,1937,1856,81,
4802*C,2,1912,1839,73,
4802*C,3,1922,1848,74,
4802*C,4,1910,1825,85,
4802*C,5,1916,1846,70,
686-67*A,1,1481,1429,52,
686-67*A,2,1464,1417,47,
686-67*A,3,1445,1406,39,
686-67*A,4,1476,1416,60,
686-67*A,5,1442,1394,48,
565-66*A,1,1478,1409,69,
565-66*A,2,1470,1405,65,
565-66*A,3,1460,1397,63,
565-66*A,4,1472,1408,64,
565-66*A,5,1492,1425,67,
1732-77*A,1,1449,1417,32,
1732-77*A,2,1450,1420,30,
1732-77*A,3,1443,1410,33,
1732-77*A,4,1429,1397,32,
1732-77*A,5,1438,1406,32,
1732-77*B,1,1427,1396,31,
1732-77*B,2,1438,1406,32,
1732-77*B,3,1431,1400,31,
1732-77*B,4,1445,1415,30,
1732-77*B,5,1447,1414,33,
1732-77*D,1,1420,1397,23,
1732-77*D,2,1425,1406,19,
1732-77*D,3,1430,1412,18,
1732-77*D,4,1440,1418,22,
1732-77*D,5,1420,1399,21,
205-80*B,1,2069,1867,202,
205-80*B,2,2080,1879,201,
205-80*B,3,2042,1862,180,
205-80*B,4,2056,1858,198,
205-80*B,5,2058,1852,206,
1311-79*B,1,2038,1832,206,
1311-79*B,2,2101,1836,265,
1311-79*B,3,2086,1828,258,
1311-79*B,4,2049,1835,214,
1311-79*B,5,2098,1850,248,
205-80*A,1,2177,1847,330,
205-80*A,2,2147,1826,321,
205-80*A,3,2166,1848,318,
205-80*A,4,2175,1862,313,
205-80*A,5,2181,1866,315,
1311-79*F,1,2081,1883,198,
1311-79*F,2,2073,1861,212,
1311-79*F,3,2081,1869,212,
1311-79*F,4,2074,1873,201,
1311-79*F,5,2087,1870,217,
16573*L,1,1458,1381,77,
16573*L,2,1489,1416,73,
16573*L,3,1507,1428,79,
16573*L,4,1502,1426,76,
16573*L,5,1504,1439,65,
16589*A,1,1446,1411,35,
16589*A,2,1437,1399,38,
16589*A,3,1416,1400,16,
16589*A,4,1431,1412,19,
16589*A,5,1471,1431,40,
16589*H,1,1431,1412,19,
16589*H,2,1411,1393,18,
16589*H,3,1419,1399,20,
16589*H,4,1405,1386,19,
16589*H,5,1394,1374,20,
16589*B,1,1828,1823,5,
16589*B,2,1832,1825,7,
16589*B,3,1856,1846,10,
16589*B,4,1846,1839,7,
16589*B,5,1845,1839,6,
16576*N,1,1437,1370,67,
16576*N,2,1432,1365,67,
16576*N,3,1425,1366,59,
16576*N,4,1449,1387,62,
16576*N,5,1526,1465,61,
16576*H,1,1454,1414,40,
16576*H,2,1447,1408,39,
16576*H,3,1440,1410,30,
16576*H,4,1420,1382,38,
16576*H,5,1410,1381,29,
16576*R,1,1502,1436,66,
16576*R,2,1498,1430,68,
16576*R,3,1477,1420,57,
16576*R,4,1478,1415,63,
16576*R,5,1459,1395,64,
16576*J,1,1488,1434,54,
16576*J,2,1482,1422,60,
16576*J,3,1504,1451,53,
16576*J,4,1491,1432,59,
16576*J,5,1494,1443,51,
16576*I,1,1519,1436,83,
16576*I,2,1523,1422,101,
16576*I,3,1474,1398,76,
16576*I,4,1490,1389,101,
16576*I,5,1481,1398,83,
11372*H,1,1446,1410,36,
11372*H,2,1459,1420,39,
11372*H,3,1484,1445,39,
11372*H,4,1482,1449,33,
11372*H,5,1462,1428,34,
11371*G,1,1479,1450,29,
11371*G,2,1470,1443,27,
11371*G,3,1485,1456,29,
11371*G,4,1480,1450,30,
11371*G,5,1476,1453,23,
11371*M,1,1882,1813,69,
11371*M,2,1884,1813,71,
11371*M,3,1870,1826,44,
11371*M,4,1863,1817,46,
11371*M,5,1868,1829,39,
11371*J,1,1948,1894,54,
11371*J,2,1920,1865,55,
11371*J,3,1925,1871,54,
11371*J,4,1926,1875,51,
11371*J,5,1932,1881,51,
16592*D,1,1507,1434,73,
16592*D,2,1512,1439,73,
16592*D,3,1499,1421,78,
16592*D,4,1494,1421,73,
16592*D,5,1483,1416,67,
16592*E,1,1913,1872,41,
16592*E,2,1900,1868,32,
16592*E,3,1916,1880,36,
16592*E,4,1927,1890,37,
16592*E,5,1951,1909,42,
111-58*B,1,6313,5616,697,
111-58*B,2,6512,5717,795,
111-58*B,3,6789,5642,1147,
111-58*B,4,6191,5563,628,
111-58*B,5,6770,5704,1066,
111-58*A,1,6162,5646,516,
111-58*A,2,6034,5618,416,
111-58*A,3,6187,5601,586,
111-58*A,4,6521,5745,776,
111-58*A,5,6228,5593,635,
1726-81*A,1,6652,5570,1082,
1726-81*A,2,6868,5749,1119,
1726-81*A,3,6954,5799,1155,
1726-81*A,4,6420,5642,778,
1726-81*A,5,6917,5757,1160,
1726-81*B,1,7047,5643,1404,
1726-81*B,2,6592,5604,988,
1726-81*B,3,7083,5722,1361,
1726-81*B,4,6899,5652,1247,
1726-81*B,5,6744,5626,1118,
1236-79*A,1,6851,5753,1098,
1236-79*A,2,6371,5603,768,
1236-79*A,3,6699,5633,1066,
1236-79*A,4,6856,5649,1207,
1236-79*A,5,6442,5637,805,
1236-79*D,1,6270,5610,660,
1236-79*D,2,6657,5705,952,
1236-79*D,3,6450,5593,857,
1236-79*D,4,6332,5643,689,
1236-79*D,5,6645,5768,877,
1236-79*B,1,6540,5676,864,
1236-79*B,2,6501,5560,941,
1236-79*B,3,7318,5564,1754,
1236-79*B,4,6595,5667,928,
1236-79*B,5,6968,5594,1374,
16611*O,1,6288,5709,579,
16611*O,2,6253,5765,488,
16611*O,3,6237,5664,573,
16611*O,4,6355,5838,517,
16611*O,5,6319,5664,655,
16611*J,1,5979,5551,428,
16611*J,2,6071,5660,411,
16611*J,3,6216,5724,492,
16611*J,4,6161,5678,483,
16611*J,5,6016,5596,420,
16611*F,1,6218,5739,479,
16611*F,2,6208,5656,552,
16611*F,3,6072,5746,326,
16611*F,4,6299,5716,583,
16611*F,5,6160,5605,555,
16611*K,1,6209,5537,672,
16611*K,2,6442,5657,785,
16611*K,3,6352,5608,744,
16611*K,4,5887,5547,340,
16611*K,5,6201,5670,531,
22099*A,1,6440,5662,778,
22099*A,2,6421,5531,890,
22099*A,3,6166,5601,565,
22099*A,4,6388,5630,758,
22099*A,5,6276,5599,677,
1279-64*B,1,1397,1373,24,
1279-64*B,2,1399,1379,20,
1279-64*B,3,1421,1395,26,
1279-64*B,4,1385,1364,21,
1279-64*B,5,1375,1348,27,
16780*M,1,1412,1384,28,
16780*M,2,1403,1362,41,
16780*M,3,1395,1360,35,
16780*M,4,1407,1376,31,
16780*M,5,1409,1380,29,
16780*L,1,1856,1843,13,
16780*L,2,1847,1836,11,
16780*L,3,1878,1861,17,
16780*L,4,1867,1853,14,
16780*L,5,1874,1858,16,
250-80*A,1,2609,2445,164,
250-80*A,2,2518,2425,93,
250-80*A,3,2555,2431,124,
250-80*A,4,2646,2468,178,
250-80*A,5,2594,2483,111,
10793*A,1,2778,2412,366,
10793*A,2,2645,2419,226,
10793*A,3,2727,2396,331,
10793*A,4,2666,2420,246,
10793*A,5,2645,2429,216,
250-80*E,1,2549,2428,121,
250-80*E,2,2560,2431,129,
250-80*E,3,2553,2436,117,
250-80*E,4,2545,2411,134,
250-80*E,5,2543,2413,130,
7272*C,1,3151,2484,667,
7272*C,2,2957,2463,494,
7272*C,3,2981,2487,494,
7272*C,4,3067,2494,573,
7272*C,5,3039,2487,552,
10569*A,1,2625,2429,196,
10569*A,2,2662,2450,212,
10569*A,3,2594,2402,192,
10569*A,4,2794,2431,363,
10569*A,5,2676,2443,233,
7272*A,1,2572,2422,150,
7272*A,2,2611,2414,197,
7272*A,3,2582,2427,155,
7272*A,4,2664,2446,218,
7272*A,5,2659,2439,220,
23189*A,1,2668,2415,253,
23189*A,2,2671,2514,157,
23189*A,3,2729,2487,242,
23189*A,4,2668,2439,229,
23189*A,5,2793,2436,357,
17456*A,1,2510,2432,78,
17456*A,2,2478,2429,49,
17456*A,3,2467,2416,51,
17456*A,4,2478,2427,51,
17456*A,5,2466,2435,31,
17456*B,1,2489,2423,66,
17456*B,2,2493,2414,79,
17456*B,3,2482,2422,60,
17456*B,4,2469,2421,48,
17456*B,5,2508,2415,93,
11728*B,1,2576,2403,173,
11728*B,2,2533,2421,112,
11728*B,3,2695,2455,240,
11728*B,4,2516,2437,79,
11728*B,5,2564,2441,123,
11728*A,1,2583,2432,151,
11728*A,2,2507,2424,83,
11728*A,3,2503,2398,105,
11728*A,4,2501,2419,82,
11728*A,5,2531,2421,110,
11728*C,1,4568,4455,113,
11728*C,2,4595,4470,125,
11728*C,3,4465,4376,89,
11728*C,4,4514,4418,96,
11728*C,5,4493,4390,103,
18409*A,1,2877,2447,430,
18409*A,2,2625,2443,182,
18409*A,3,2847,2456,391,
18409*A,4,2818,2399,419,
18409*A,5,2744,2403,341,
20513*A,1,3085,2470,615,
20513*A,2,3755,2491,1264,
20513*A,3,2892,2484,408,
20513*A,4,3519,2509,1010,
20513*A,5,2780,2499,281,
358-82*A,1,2849,2521,328,
358-82*A,2,2571,2478,93,
358-82*A,3,2670,2492,178,
358-82*A,4,2609,2481,128,
358-82*A,5,2630,2485,145,
16795*A,1,3650,1885,1765,
16795*A,2,3075,1901,1174,
16795*A,3,2833,1897,936,
16795*A,4,2905,1897,1008,
16795*A,5,2754,1911,843,
20517*B,1,3411,2470,941,
20517*B,2,2886,2432,454,
20517*B,3,3113,2445,668,
20517*B,4,2812,2430,382,
20517*B,5,3265,2482,783,
7598*J,1,3390,2501,889,
7598*J,2,3776,2499,1277,
7598*J,3,3658,2469,1189,
7598*J,4,4253,2480,1773,
7598*J,5,3958,2479,1479,
20517*A,1,3226,2502,724,
20517*A,2,3038,2504,534,
20517*A,3,3268,2545,723,
20517*A,4,3451,2511,940,
20517*A,5,3481,2513,968,
7598*B,1,3047,1945,1102,
7598*B,2,2598,1922,676,
7598*B,3,2185,1912,273,
7598*B,4,2380,1922,458,
7598*B,5,2403,1910,493,
1590-52*C,1,3899,2423,1476,
1590-52*C,2,2972,2448,524,
1590-52*C,3,3190,2448,742,
1590-52*C,4,4003,2477,1526,
1590-52*C,5,3472,2474,998,
16815*A,1,3354,2488,866,
16815*A,2,2990,2493,497,
16815*A,3,4019,2503,1516,
16815*A,4,3539,2515,1024,
16815*A,5,3201,2520,681,
1590-52*B,1,3305,2470,835,
1590-52*B,2,3598,2498,1100,
1590-52*B,3,3268,2489,779,
1590-52*B,4,3273,2488,785,
1590-52*B,5,3269,2464,805,
1211-77*B,1,2821,2478,343,
1211-77*B,2,2743,2463,280,
1211-77*B,3,2735,2430,305,
1211-77*B,4,2638,2449,189,
1211-77*B,5,2652,2444,208,
16823*B,1,2680,2446,234,
16823*B,2,2752,2439,313,
16823*B,3,2536,2428,108,
16823*B,4,2874,2432,442,
16823*B,5,2613,2446,167,
16823*K,1,2654,2410,244,
16823*K,2,2572,2393,179,
16823*K,3,2759,2400,359,
16823*K,4,2789,2447,342,
16823*K,5,2602,2434,168,
16824*C,1,2694,2467,227,
16824*C,2,2681,2472,209,
16824*C,3,2630,2492,138,
16824*C,4,2681,2499,182,
16824*C,5,2681,2475,206,
3672*A,1,2655,2438,217,
3672*A,2,2575,2429,146,
3672*A,3,2599,2434,165,
3672*A,4,2732,2449,283,
3672*A,5,2756,2441,315,
1264-80*B,1,2702,2476,226,
1264-80*B,2,2741,2446,295,
1264-80*B,3,2734,2444,290,
1264-80*B,4,2748,2478,270,
1264-80*B,5,2714,2462,252,
3672*B,1,2658,2501,157,
3672*B,2,2583,2455,128,
3672*B,3,2681,2466,215,
3672*B,4,2658,2449,209,
3672*B,5,2610,2437,173,
3672*C,1,2792,2415,377,
3672*C,2,2638,2435,203,
3672*C,3,2708,2432,276,
3672*C,4,2739,2473,266,
3672*C,5,2744,2471,273,
16847*E,1,3376,2462,914,
16847*E,2,3030,2441,589,
16847*E,3,3236,2473,763,
16847*E,4,3184,2441,743,
16847*E,5,3138,2472,666,
16847*M,1,2984,2527,457,
16847*M,2,3163,2504,659,
16847*M,3,2958,2502,456,
16847*M,4,2918,2482,436,
16847*M,5,2758,2505,253,
5859*B,1,2849,2443,406,
5859*B,2,2724,2402,322,
5859*B,3,2795,2459,336,
5859*B,4,3308,2420,888,
5859*B,5,3286,2450,836,
11253*A,1,3207,2480,727,
11253*A,2,3457,2504,953,
11253*A,3,3929,2515,1414,
11253*A,4,4095,2468,1627,
11253*A,5,3397,2484,913,
16882*B,1,2791,1897,894,
16882*B,2,2766,1886,880,
16882*B,3,2650,1885,765,
16882*B,4,2465,1865,600,
16882*B,5,2471,1901,570,
5859*A,1,2637,1888,749,
5859*A,2,2275,1897,378,
5859*A,3,2892,1873,1019,
5859*A,4,2205,1879,326,
5859*A,5,2493,1868,625,
1581-77*F,1,2763,2484,279,
1581-77*F,2,3002,2486,516,
1581-77*F,3,2790,2474,316,
1581-77*F,4,2829,2484,345,
1581-77*F,5,2650,2470,180,
18053*A,1,2555,2420,135,
18053*A,2,2697,2423,274,
18053*A,3,2705,2438,267,
18053*A,4,2596,2393,203,
18053*A,5,2694,2401,293,
17631*B,1,2772,2474,298,
17631*B,2,2781,2473,308,
17631*B,3,2760,2495,265,
17631*B,4,2749,2537,212,
17631*B,5,2789,2507,282,
3671*A,1,2837,2520,317,
3671*A,2,2892,2502,390,
3671*A,3,2856,2513,343,
3671*A,4,2861,2500,361,
3671*A,5,2802,2513,289,
1539-80*B,5,2806,2484,322,
1539-80*B,4,2911,2455,456,
1539-80*B,3,2869,2460,409,
1539-80*B,2,2809,2485,324,
1539-80*A,5,2986,2487,499,
1539-80*A,4,2852,2500,352,
1894-80*C,1,2824,2503,321,
1894-80*C,2,2862,2489,373,
1894-80*C,3,3016,2475,541,
1894-80*C,4,2803,2472,331,
1894-80*C,5,2832,2492,340,
1539-80*H,5,2618,2458,160,
1539-80*H,4,2618,2461,157,
1539-80*H,3,2615,2451,164,
1539-80*H,2,2668,2478,190,
1539-80*H,1,2729,2490,239,
1894-80*B,5,2782,2474,308,
1894-80*B,4,2637,2462,175,
1894-80*B,3,2598,2472,126,
1894-80*B,2,2585,2451,134,
1894-80*B,1,2652,2478,174,
1894-80*A,1,2686,2443,243,
1894-80*A,2,2559,2434,125,
1894-80*A,3,2598,2421,177,
1894-80*A,4,2666,2437,229,
1894-80*A,5,2686,2457,229,
1539-80*A,1,2842,2493,349,
1539-80*A,2,2952,2491,461,
1539-80*A,3,2838,2470,368,
1539-80*I,3,2863,2506,357,
1539-80*I,2,2730,2463,267,
1539-80*I,1,2849,2469,380,
1539-80*I,4,2741,2465,276,
1539-80*I,5,2759,2474,285,
1539-80*C,1,2769,2483,286,
1539-80*D,5,2946,2469,477,
1539-80*B,1,2997,2511,486,
1894-80*D,2,3046,2501,545,
1894-80*G,1,2856,2450,406,
1894-80*G,2,2718,2462,256,
1894-80*G,3,2571,2451,120,
1894-80*G,4,2678,2472,206,
1894-80*G,5,2741,2494,247,
1539-80*C,4,2817,2454,363,
1894-80*D,1,2920,2493,427,
1539-80*C,2,2789,2496,293,
1539-80*C,3,2948,2496,452,
1539-80*C,5,2943,2487,456,
1894-80*U,1,2729,2516,213,
1894-80*U,2,2804,2527,277,
1894-80*U,3,2661,2511,150,
1894-80*U,4,2723,2486,237,
1894-80*U,5,2711,2506,205,
1894-80*D,3,2898,2517,381,
1894-80*D,4,2960,2503,457,
1239-83*C,1,5247,4564,683,
1239-83*C,2,5196,4552,644,
1239-83*C,3,5306,4453,853,
1239-83*C,4,5288,4491,797,
1239-83*C,5,5110,4437,673,
12221*A,1,2886,2484,402,
12221*A,2,2922,2516,406,
12221*A,3,2918,2488,430,
12221*A,4,2916,2475,441,
12221*A,5,2881,2469,412,
1239-83*A,1,3106,2501,605,
1239-83*A,2,3178,2475,703,
1239-83*A,3,2941,2502,439,
1239-83*A,4,2965,2513,452,
1239-83*A,5,3168,2505,663,
17404*A,1,1437,1382,55,
17404*A,2,1466,1400,66,
17404*A,3,1446,1397,49,
17404*A,4,1439,1395,44,
17404*A,5,1462,1399,63,
17404*C,1,1447,1421,26,
17404*C,2,1463,1428,35,
17404*C,3,1452,1416,36,
17404*C,4,1476,1421,55,
17404*C,5,1470,1425,45,
17404*D,1,1390,1360,30,
17404*D,2,1371,1353,18,
17404*D,3,1421,1364,57,
17404*D,4,1420,1355,65,
17404*D,5,1390,1370,20,
1474-81*C,1,1432,1418,14,
1474-81*C,2,1442,1407,35,
1474-81*C,3,1471,1392,79,
1474-81*C,4,1419,1408,11,
1474-81*C,5,1416,1389,27,
17615*A,1,1431,1405,26,
17615*A,2,1471,1430,41,
17615*A,3,1479,1410,69,
17615*A,4,1482,1436,46,
17615*A,5,1465,1418,47,
1225-78*A,1,1368,1351,17,
1225-78*A,2,1402,1356,46,
1225-78*A,3,1412,1374,38,
1225-78*A,4,1412,1362,50,
1225-78*A,5,1429,1374,55,
17515*B,1,1451,1432,19,
17515*B,2,1451,1438,13,
17515*B,3,1431,1419,12,
17515*B,4,1446,1420,26,
17515*B,5,1434,1415,19,
17516*B,1,1506,1443,63,
17516*B,2,1481,1431,50,
17516*B,3,1518,1434,84,
17516*B,4,1468,1422,46,
17516*B,5,1447,1390,57,
17515*A,1,1428,1392,36,
17515*A,2,1425,1396,29,
17515*A,3,1397,1378,19,
17515*A,4,1427,1407,20,
17515*A,5,1437,1406,31,
1549-81*B,1,1454,1430,24,
1549-81*B,2,1410,1387,23,
1549-81*B,3,1420,1407,13,
1549-81*B,4,1428,1401,27,
1549-81*B,5,1441,1428,13,
7141*A,1,2894,2473,421,
7141*A,2,2946,2422,524,
7141*A,3,3021,2427,594,
7141*A,4,3126,2446,680,
7141*A,5,2979,2445,534,
17538*A,1,2989,2501,488,
17538*A,2,2820,2460,360,
17538*A,3,2969,2438,531,
17538*A,4,2897,2455,442,
17538*A,5,2964,2468,496,
19804*A,1,2960,2452,508,
19804*A,2,3048,2437,611,
19804*A,3,3125,2428,697,
19804*A,4,3115,2454,661,
19804*A,5,3505,2483,1022,
1323-82*A,1,3305,2471,834,
1323-82*A,2,3780,2461,1319,
1323-82*A,3,3037,2441,596,
1323-82*A,4,3450,2468,982,
1323-82*A,5,3165,2440,725,
17527*D,1,3295,2474,821,
17527*D,2,3114,2465,649,
17527*D,3,2965,2469,496,
17527*D,4,2952,2474,478,
17527*D,5,2915,2478,437,
945-63*A,1,2522,2447,75,
945-63*A,2,2570,2463,107,
945-63*A,3,2528,2454,74,
945-63*A,4,2653,2475,178,
945-63*A,5,2594,2472,122,
3699*D,1,2738,2467,271,
3699*D,2,2705,2451,254,
3699*D,3,2688,2451,237,
3699*D,4,2783,2471,312,
3699*D,5,2666,2454,212,
772-53*A,1,2608,2442,166,
772-53*A,2,2655,2417,238,
772-53*A,3,2658,2430,228,
772-53*A,4,2625,2449,176,
772-53*A,5,2633,2439,194,
147-86*C,1,2795,2453,342,
147-86*C,2,2789,2443,346,
147-86*C,3,2793,2452,341,
147-86*C,4,2793,2464,329,
147-86*C,5,2814,2484,330,
147-86*A,1,2708,2467,241,
147-86*A,2,2704,2413,291,
147-86*A,3,2609,2394,215,
147-86*A,4,2639,2402,237,
147-86*A,5,2730,2451,279,
23084*F,1,1461,1455,6,
23084*F,2,1458,1451,7,
23084*F,3,1429,1422,7,
23084*F,4,1366,1362,4,
23084*F,5,1392,1387,5,
23084*B,1,1385,1375,10,
23084*B,2,1400,1393,7,
23084*B,3,1382,1377,5,
23084*B,4,1395,1388,7,
23084*B,5,1449,1443,6,
23084*H,1,1430,1422,8,
23084*H,2,1432,1425,7,
23084*H,3,1421,1415,6,
23084*H,4,1433,1428,5,
23084*H,5,1414,1409,5,
23084*E,1,1408,1403,5,
23084*E,2,1406,1401,5,
23084*E,3,1416,1412,4,
23084*E,4,1412,1408,4,
23084*E,5,1441,1438,3,
23084*D,1,1459,1451,8,
23084*D,2,1453,1446,7,
23084*D,3,1439,1435,4,
23084*D,4,1448,1443,5,
23084*D,5,1446,1440,6,
23084*A,1,1472,1465,7,
23084*A,2,1451,1445,6,
23084*A,3,1448,1440,8,
23084*A,4,1453,1447,6,
23084*A,5,1454,1447,7,
23084*G,1,1467,1461,6,
23084*G,2,1441,1435,6,
23084*G,3,1428,1424,4,
23084*G,4,1426,1421,5,
1509-1*A,1,1437,1432,5,
1509-1*A,2,1418,1411,7,
1509-1*A,3,1404,1399,5,
1509-1*A,4,1398,1392,6,
1509-1*A,5,1399,1392,7,
1001-98*A,1,1881,1874,7,
1001-98*A,2,1887,1881,6,
1001-98*A,3,1882,1878,4,
1001-98*A,4,1879,1873,6,
1001-98*A,5,1861,1858,3,
1204-98*A,1,1822,1819,3,
1204-98*A,2,1803,1800,3,
1204-98*A,3,1814,1812,2,
1204-98*A,4,1829,1828,1,
1204-98*A,5,1853,1852,1,
2878-98*A,1,1863,1854,9,
2878-98*A,2,1860,1852,8,
2878-98*A,3,1829,1822,7,
2878-98*A,4,1826,1819,7,
2878-98*A,5,1835,1828,7,
1058-98*A,1,1876,1873,3,
1058-98*A,2,1850,1848,2,
1058-98*A,3,1861,1859,2,
1058-98*A,4,1854,1850,4,
1058-98*A,5,1875,1872,3,
2196-98*A,1,1873,1870,3,
2196-98*A,2,1869,1864,5,
2196-98*A,3,1865,1862,3,
2196-98*A,4,1853,1850,3,
2196-98*A,5,1844,1843,1,
1196-98*A,1,1847,1841,6,
1196-98*A,2,1866,1859,7,
1196-98*A,3,1892,1885,7,
1196-98*A,4,1904,1900,4,
1196-98*A,5,1924,1919,5,
15803*M,1,1909,1894,15,
15803*M,2,1889,1879,10,
15803*M,3,1865,1853,12,
15803*M,4,1895,1883,12,
15803*M,5,1889,1875,14,
15803*B,1,1874,1853,21,
15803*B,2,1890,1880,10,
15803*B,3,1861,1844,17,
15803*B,4,1868,1858,10,
15803*B,5,1854,1843,11,
47-62*C,1,1468,1462,6,
47-62*C,2,1457,1451,6,
47-62*C,3,1457,1450,7,
47-62*C,4,1450,1444,6,
47-62*C,5,1441,1437,4,
17908-1*B,3,2897,2471,426,
17908-1*B,4,2738,2407,331,
17908-1*B,5,2698,2409,289,
17908-1*B,1,2918,2459,459,
17908-1*B,2,2859,2475,384,
17908-1*C,1,2833,2507,326,
17908-1*C,2,2793,2506,287,
17908-1*C,3,2741,2499,242,
17908-1*C,4,2749,2485,264,
17908-1*C,5,2901,2521,380,
17908*D,1,2995,2531,464,
17908*D,2,2844,2496,348,
17908*D,3,2894,2497,397,
17908*D,4,2932,2486,446,
17908*D,5,2872,2499,373,
1513-77*F,5,2619,2465,154,
1813-77*E,1,2631,2473,158,
1813-77*E,2,2575,2450,125,
1813-77*E,3,2623,2468,155,
1813-77*D,4,2624,2484,140,
1813-77*D,5,2678,2488,190,
1813-77*C,5,2690,2467,223,
1813-77*C,4,2664,2449,215,
1813-77*A,1,2593,2471,122,
1813-77*A,2,2583,2468,115,
1813-77*A,3,2589,2463,126,
