accession_no,genus,species,var_ssp,priority,loc,leaves,height1,height2,leaves_date,leaves_person,twigs_date,twigs_person,notes
14585*T,Fagus,grandifolia,,1,37-NE,N,,,,,,,cant reach with pole pruners
14585*V,Fagus,grandifolia,,1,37-NE,N,,,,,,,cant reach with pole pruners
14585*W,Fagus,grandifolia,,1,37-NE,N,,,6/22/15,"sally, silvia",,,
26-80*A,Fagus,grandifolia,,1,64-SE,Y,37.01,35.44,6/22/15,"sally, silvia",,,
6782*B,Fagus,grandifolia,,1,37-NE,Y,,,6/22/15,"sally, silvia",,,
14615*B,Fraxinus,chinensis,,1,26-SE,Y,38.24,39.06,6/22/15,Ailene,7/20/15,Sally,
439-80*C,Fraxinus,chinensis,,1,27-NW,Y,42.69,44.46,6/22/15,Ailene,7/20/15,Sally,
439-80*D,Fraxinus,chinensis,,1,27-NW,Y,46.53,44.91,6/22/15,Ailene,7/20/15,Sally,
911-77*A,Fraxinus,chinensis,,1,27-NW,Y,42.07,43.71,6/22/15,Ailene,7/20/15,Sally,
911-77*C,Fraxinus,chinensis,,1,27-NW,Y,32.71,34.88,6/22/15,Ailene,7/20/15,Sally,
910-77*A,Fraxinus,chinensis,rhynchophylla,1,27-NW,Y,,,6/26/15,"AILENE, SILVIA",,,
1422-83*B,Fraxinus,pennsylvanica,,2,20-NE,Y,,,6/22/15,Ailene,,,
186-82*A,Fraxinus,pennsylvanica,,2,21-SW,Y,,,6/22/15,Ailene,,,
186-82*C,Fraxinus,pennsylvanica,,2,59-NW,Y,59.6,66.94,6/22/15,Ailene,7/29/15,"silvia, ailene",
537-81*A,Fraxinus,sieboldiana,,2,27-NW,Y,,,6/22/15,Ailene,,,
1237-79*B,Gleditsia,triacanthos,,2,53-NE,Y,34.24,35.88,6/22/15,"sally, silvia",8/2/15,Sally,
1237-79*C,Gleditsia,triacanthos,,2,54-SW,Y,38.69,40.48,6/22/15,"sally, silvia",7/14/15,Sally,
13218*A,Gleditsia,triacanthos,,2,21-NE,Y,54.59,63.87,6/22/15,"sally, silvia",7/14/15,Sally,
1248-79*A,Liquidambar,styraciflua,,2,19-NE,Y,49.82,47.95,6/30/15,silvia,7/10/15,Sally,
