accession_no,genus,species,var_ssp,priority,loc,leaves,height1,height2,leaves_date,leaves_person,twigs_date,twigs_person,notes
6284*I,Picea,asperata,,1,49-SW,Y,37.24,34.31,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
6992*G,Picea,asperata,notabilis,1,33-NE,Y,49.9,49.37,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
6992*W,Picea,asperata,notabilis,1,49-SW,Y,31.66,37.44,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
6998*B,Picea,asperata,ponderosa,1,49-SW,Y,50.1,47.08,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
6998*F,Picea,asperata,ponderosa,1,27-SE,Y,49.62,48.21,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
15877*C,Picea,engelmannii,,1,35-SW,N,,,cut down?,,,,
16477*E,Picea,engelmannii,,1,35-SE,N,44.52,41.37,7/29/15,"silvia, john",7/29/15,"silvia, john",
16477*F,Picea,engelmannii,,1,35-SE,N,,,cut down?,,,,
7707*C,Picea,koyamai,,1,2-NE,Y,61.54,65.29,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
7707*F,Picea,koyamai,,1,2-SE,Y,58.89,57.79,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
7707*G,Picea,koyamai,,1,2-SE,Y,59.56,61.31,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
7707*K,Picea,koyamai,,1,2-SE,Y,37.92,44.34,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
7707*M,Picea,koyamai,,1,27-SE,Y,46.56,50.94,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
7707*P,Picea,koyamai,,1,33-NE,Y,,,cut down?,,,,
7707*Q,Picea,koyamai,,1,33-NE,Y,63.51,63.89,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
7707*R,Picea,koyamai,,1,33-NE,N,46.37,45.1,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
7707*S,Picea,koyamai,,1,33-NE,Y,51.72,55.1,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
1341-78*A,Picea,meyeri,,1,35-NW,Y,43.69,45.65,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
1341-78*B,Picea,meyeri,,1,35-NW,Y,42.14,47.75,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
20-48*A,Picea,meyeri,,1,35-NW,Y,62.04,61.43,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
228-43*A,Picea,meyeri,,1,34-NE,Y,35.09,38.65,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
7709*B,Picea,obovata,,1,34-SE,Y,42.36,39.86,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
1476*B,Picea,pungens,,1,35-SE,Y,73.03,75.24,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
1476*E,Picea,pungens,,1,35-SE,N,64.49,56.17,9/14/15,"Sally,John",9/14/15,"Sally,John",need truck
1476*H,Picea,pungens,,1,35-SE,N,73.73,74.34,9/14/15,"Sally,John",9/14/15,"Sally,John",need truck
1476*I,Picea,pungens,,1,35-SE,N,79.22,73.79,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
6995*A,Picea,purpurea,,2,44-SE,Y,34.72,39.87,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
6995*H,Picea,purpurea,,2,38-NW,Y,,,7/20/15,"Silvia, Ailene",7/20/15,"Silvia, Ailene",top not visible
16511*C,Picea,rubens,,1,40-NE,Y,57.84,57.36,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
16511*D,Picea,rubens,,1,40-NW,Y,51.25,55.62,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
16511*E,Picea,rubens,,1,40-NW,N,37.13,45.24,7/13/15,"silvia, Ailene",7/13/15,"silvia, Ailene",unclear canopy
16511*G,Picea,rubens,,1,44-SE,N,52.81,53.21,7/6/15,"Sally, Silvia, Ailene",7/14/15,"Silvia, Ailene",
16515*A,Picea,wilsonii,,1,49-SW,Y,49.19,49.29,7/13/15,"silvia, Ailene",7/13/15,"silvia, Ailene",
16515*C,Picea,wilsonii,,1,49-SW,Y,57.33,58.18,7/13/15,"silvia, Ailene",7/13/15,"silvia, Ailene",
16515*G,Picea,wilsonii,,1,49-SW,Y,45.46,53.45,7/13/15,"silvia, Ailene",7/13/15,"silvia, Ailene",
16515*I,Picea,wilsonii,,1,33-NE,Y,69.84,72.53,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
16515*K,Picea,wilsonii,,1,33-NE,Y,60.08,60.14,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
16515*M,Picea,wilsonii,,1,38-NW,Y,61.61,,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
16515*N,Picea,wilsonii,,1,38-NW,Y,58.93,60.39,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
16520*C,Picea,wilsonii,,1,40-NW,Y,40.45,37.43,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
16520*I,Picea,wilsonii,,1,33-NE,Y,50.83,54.44,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
16520*K,Picea,wilsonii,,1,33-NE,Y,64.33,65.68,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
16520*P,Picea,wilsonii,,1,27-SE,Y,49.55,47.7,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
16521*A,Picea,wilsonii,,1,3-NW,Y,47.06,,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene","*can't see top, probably wrong"
7599*A,Picea,wilsonii,,1,40-NW,Y,54.92,51.19,7/13/15,"silvia, Ailene",7/13/15,"Silvia, Ailene",
11373*B,Pinus,densiflora,,1,45-SW,Y,40.15,40.53,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
16536*C,Pinus,densiflora,,1,35-NE,Y,41.21,39.8,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
1724-77*A,Pinus,densiflora,,1,36-SW,Y,32.7,29.85,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
1724-77*B,Pinus,densiflora,,1,36-SW,Y,24.82,24.98,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
1724-77*C,Pinus,densiflora,,1,36-SW,Y,25.6,30.56,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16541*A,Pinus,echinata,,2,30-SW,Y,69.47,60.96,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16541*F,Pinus,echinata,,2,30-SW,N,57.16,58.76,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16541*H,Pinus,echinata,,2,30-SW,N,65.03,67.26,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16541*I,Pinus,echinata,,2,30-SW,Y,57.32,62.09,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
11242*A,Pinus,koraiensis,,2,30-SW,Y,57.03,56.47,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
1264-83*B,Pinus,koraiensis,,2,34-SE,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
304-78*A,Pinus,nigra,nigra,2,26-NW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
4802*C,Pinus,nigra,nigra,2,44-SE,N,67.17,69.86,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
4802*D,Pinus,nigra,nigra,2,53-NW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
4802*E,Pinus,nigra,nigra,2,53-NW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
1038-65*A,Pinus,nigra,pallasiana,2,35-NE,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
565-66*A,Pinus,nigra,pallasiana,2,31-SW,N,42.25,44.59,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",collected twice (on ' too high' list)
686-67*A,Pinus,nigra,pallasiana,2,30-NE,Y,40.13,40.77,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
1732-77*A,Pinus,parviflora,,2,27-SE,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
1732-77*B,Pinus,parviflora,,2,27-SE,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
1732-77*D,Pinus,parviflora,,2,58-NW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
1311-79*B,Pinus,ponderosa,ponderosa,2,59-NE,N,43.49,49.48,7/29/15,"silvia, Ailene",7/29/15,"silvia, Ailene",
1311-79*F,Pinus,ponderosa,ponderosa,2,59-NE,N,51.93,52.46,7/29/15,"silvia, Ailene",7/29/15,"silvia, Ailene",
205-80*A,Pinus,ponderosa,ponderosa,2,59-NE,N,38.87,39.44,7/29/15,"silvia, Ailene",7/29/15,"silvia, Ailene",
205-80*B,Pinus,ponderosa,ponderosa,2,59-NE,N,37.94,36.93,7/29/15,"silvia, Ailene",7/29/15,"silvia, Ailene",
16573*L,Pinus,resinosa,,2,36-SW,N,40.6,38.34,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16573*M,Pinus,resinosa,,2,36-SW,N,40.11,46.43,9/16/15,John,9/16/15,John,too high
16573*N,Pinus,resinosa,,2,36-SW,N,43.44,41.04,,,,,too high
16573*Q,Pinus,resinosa,,2,36-SW,N,50.53,47.49,,,,,too high
16589*A,Pinus,sylvestris,lapponica,2,30-NW,Y,42.44,44.51,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16589*B,Pinus,sylvestris,lapponica,2,30-SW,N,52.69,52.62,7/29/15,"silvia, john",7/29/15,"silvia, john",
16589*G,Pinus,sylvestris,lapponica,2,30-SW,N,70.05,68.69,,,,,too high
16589*H,Pinus,sylvestris,lapponica,2,30-SW,N,68.03,67.53,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
11372*H,Pinus,tabuliformis,,1,49-NE,Y,37.76,37.85,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
16576*H,Pinus,tabuliformis,,1,31-SW,Y,55.18,54.58,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16576*I,Pinus,tabuliformis,,1,31-SW,Y,44.09,42.4,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16576*J,Pinus,tabuliformis,,1,31-SW,Y,52.48,52.45,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16576*N,Pinus,tabuliformis,,1,31-SW,Y,53.96,57.39,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
16576*R,Pinus,tabuliformis,,1,31-SW,Y,47.2,49.39,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
11371*G,Pinus,thunbergii,,1,35-NE,Y,38.08,42.46,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
11371*J,Pinus,thunbergii,,1,44-SE,Y,40.54,40.6,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
11371*M,Pinus,thunbergii,,1,49-NW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
16592*D,Pinus,thunbergii,,1,49-SW,Y,53.37,54.91,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
16592*E,Pinus,thunbergii,,1,49-SW,N,39.02,40.26,7/29/15,"silvia, Ailene",7/29/15,"silvia, Ailene",
1279-64*B,Pseudotsuga,menziesii,glauca,1,40-SW,Y,70.08,73.41,7/15/15,Silvia,7/15/15,Silvia,
16780*K,Pseudotsuga,menziesii,glauca,1,34-SE,N,74.46,68.54,,,,,too high
16780*L,Pseudotsuga,menziesii,glauca,1,34-SE,N,75.29,77.16,7/29/15,"silvia, john",7/29/15,"silvia, john",
16780*M,Pseudotsuga,menziesii,glauca,1,34-SW,Y,78.09,74.07,7/15/15,Silvia,7/15/15,Silvia,
17404*A,Taxus,cuspidata,,2,36-NE,Y,23.16,,7/15/15,Silvia,7/15/15,Silvia,*obscured canopy
17404*C,Taxus,cuspidata,,2,36-SW,Y,25.19,25.47,7/15/15,Silvia,7/15/15,Silvia,
17404*D,Taxus,cuspidata,,2,36-SW,Y,24.08,25.36,7/15/15,Silvia,7/15/15,Silvia,
1225-78*A,Thuja,plicata,,1,31-SE,Y,44.06,44.55,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
1474-81*C,Thuja,plicata,,1,26-NW,Y,40.93,41.97,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
1549-81*B,Thuja,plicata,,1,33-NW,Y,51.32,49.65,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
17515*A,Thuja,plicata,,1,36-NW,Y,53.6,60.82,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
17515*B,Thuja,plicata,,1,36-NW,Y,58.34,57.46,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
17516*A,Thuja,plicata,,1,41-SE,Y,,,7/22/15,ailene,7/22/15,ailene,
17516*B,Thuja,plicata,,1,42-SW,Y,,,7/22/15,ailene,7/22/15,ailene,
1001-98*A,Tsuga,canadensis,,1,40-SE,N,,,7/28/15,ailene,7/28/15,ailene,can't see top
1058-98*A,Tsuga,canadensis,,1,40-SE,Y,,,7/28/15,ailene,7/28/15,ailene,can't see top
1196-98*A,Tsuga,canadensis,,1,40-NE,Y,,,7/28/15,ailene,7/28/15,ailene,can't see top
1204-98*A,Tsuga,canadensis,,1,40-NE,Y,,,7/28/15,ailene,7/28/15,ailene,
1293-98*A,Tsuga,canadensis,,1,41-SE,N,,,,,,,
1509-1*A,Tsuga,canadensis,,1,41-NW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
2189-98*A,Tsuga,canadensis,,1,42-NW,N,,,,,,,
2196-98*A,Tsuga,canadensis,,1,42-NW,Y,,,7/28/15,ailene,7/28/15,ailene,
2231-98*A,Tsuga,canadensis,,1,42-NE,N,,,,,,,
23084*A,Tsuga,canadensis,,1,31-SW,Y,51.67,,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
23084*B,Tsuga,canadensis,,1,31-SW,Y,53.66,,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",couldn't see top
23084*D,Tsuga,canadensis,,1,31-SW,Y,56.96,,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
23084*E,Tsuga,canadensis,,1,31-SW,Y,,,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",couldn't see top
23084*F,Tsuga,canadensis,,1,31-SW,Y,,,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",couldn't see top
23084*G,Tsuga,canadensis,,1,31-SW,Y,61.32,,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
23084*H,Tsuga,canadensis,,1,31-SW,Y,62.9,,7/21/15,"silvia, Ailene",7/21/15,"silvia, Ailene",
238-2012*A,Tsuga,canadensis,,1,38-NW,Y,,,7/28/15,ailene,7/28/15,ailene,
2878-98*A,Tsuga,canadensis,,1,37-SW,Y,,,,,,,
368-2011*A,Tsuga,canadensis,,1,30-SW,Y,,,,,,,
15803*B,Tsuga,caroliniana,,1,34-SE,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
15803*M,Tsuga,caroliniana,,,,,,,7/6/15,"Sally, Silvia, Ailene",,,
47-62*C,Tsuga,heterophylla,,2,34-SE,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
10645*A,Abies,koreana,,3,39-NE,Y,,,,,,,
8133*A,Abies,nephrolepis,,3,39-NE,Y,,,,,,,
1664-81*B,Abies,nordmanniana,equi-trojani,3,40-NW,Y,,,7/28/15,Ailene,7/28/15,Ailene,
779-65*A,Abies,nordmanniana,equi-trojani,3,40-NW,Y,,,7/28/15,Ailene,7/28/15,Ailene,
521-28*A,Abies,x,,3,35-NW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
827-27*A,Abies,x,,3,35-SW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
827-27*B,Abies,x,,3,35-SW,Y,,,7/27/15,"silvia, Ailene",7/27/15,"silvia, Ailene",
970-79*B,Carpinus,caroliniana,,3,31-SE,Y,,,,,,,
1180-50*A,Cryptomeria,japonica,,3,30-SW,Y,,,7/28/15,Ailene,7/28/15,Ailene,
838-53*A,Cryptomeria,japonica,,3,30-SW,Y,,,7/28/15,Ailene,7/28/15,Ailene,
1265-79*D,Fraxinus,mandshurica,,3,20-SE,Y,,,6/22/15,Ailene,,,
1265-79*E,Fraxinus,mandshurica,,3,20-NW,Y,,,6/22/15,Ailene,,,
12453*A,Kalopanax,septemlobus,,3,53-SE,N,49.9,45.92,7/6/15,"Sally, Silvia, Ailene",7/6/15,"Sally, Silvia, Ailene",
12453*C,Kalopanax,septemlobus,,3,53-SE,Y,35.95,36.51,7/6/15,"Sally, Silvia, Ailene",7/6/15,"Sally, Silvia, Ailene",
14948*A,Larix,sibirica,,3,39-NE,Y,55.17,45.59,7/7/15,"Silvia, Ailene",7/7/15,"silvia, ailene",crown obscured; unclear height
445-60*A,Larix,sibirica,,3,39-NE,Y,43.8,38.89,7/7/15,"Silvia, Ailene",7/7/15,"silvia, ailene",
503-40*B,Picea,koraiensis,,3,34-SE,Y,52.25,51.49,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
24-49*A,Pinus,armandii,,3,30-SW,Y,,,,,,,
254-79*A,Pinus,flexilis,,3,30-SE,Y,,,,,,,
20513*A,Quercus,alba,,3,64-NE,Y,,,6/25/15,"Ailene, Silvia",,,
358-82*A,Quercus,alba,,3,32-NW,Y,42.26,42.16,6/24/15,Ailene,9/19/15,Sally,
