"","X","Accession","Species","FirstColorDate","PeakColorDate","FirstDropDate","PeakDropDate","PercDropped","PeakColDOY","FirstColDOY","FirstDropDOY","PeakDropDOY"
"1",1,"1038-80*A","Liriodendron tulipifera","0014-09-16","0014-11-04","0014-09-16","0014-11-04",94,307,258,258,307
"2",2,"945-63*A","Tilia japonica","0014-09-16","0014-11-04","0014-09-16","0014-11-11",94,307,258,258,314
"3",3,"7544*E","Phell. amur. var. lavallei","0014-09-16","0014-10-07","0014-09-16","0014-10-14",100,279,258,258,286
"4",4,"925-79*B","Aesculus flava","0014-09-16","0014-10-29","0014-09-16","0014-11-11",100,301,258,258,314
"5",5,"3699*D","Tilia japonica","0014-09-16","0014-11-04","0014-09-16","0014-11-11",100,307,258,258,314
"6",6,"19804*A","Tilia americana","0014-09-16","0014-11-11","0014-09-16","0014-11-04",74,314,258,258,307
"7",7,"10724*B","Phell. amur. var. lavallei","0014-09-16","0014-11-11","0014-09-16","0014-11-11",74,314,258,258,314
"8",8,"181-79*A","Phellod. amurense","0014-09-16","0014-11-11","0014-09-16","0014-11-04",49,314,258,258,307
"9",9,"1769-77*A","Phellod. amurense","0014-09-16","0014-11-11","0014-09-16","0014-11-11",94,314,258,258,314
"10",10,"7544*C","Phell. amur. var. lavallei","0014-09-16","0014-10-29","0014-09-16","0014-10-29",100,301,258,258,301
"11",11,"7544*B","Phell. amur. var. lavallei","0014-09-16","0014-10-29","0014-09-16","0014-10-29",100,301,258,258,301
"12",12,"772-53*A","Tilia japonica","0014-09-16","0014-10-29","0014-09-16","0014-11-11",100,301,258,258,314
"13",13,"814-62*A","Met. glyptostroboides","0014-10-07","0014-10-07","0014-10-21","0014-11-04",24,279,279,293,307
"14",14,"814-62*D","Met. glyptostroboides","0014-09-30","0014-11-11","0014-09-30","0014-11-04",24,314,272,272,307
"15",15,"815-62*B","Met. glyptostroboides","0014-10-21","0014-11-04","0014-10-21","0014-11-04",24,307,293,293,307
"16",16,"815-62*C","Met. glyptostroboides","0014-10-21","0014-11-04","0014-10-21","0014-11-04",24,307,293,293,307
"17",17,"524-48*DD","Met. glyptostroboides","0014-09-16","0014-09-30","0014-09-30","0014-11-04",24,272,258,272,307
"18",18,"12651*C","Aesculus flava","0014-09-16","0014-10-21","0014-09-16","0014-10-21",100,293,258,258,293
"19",19,"12651*H","Aesculus flava","0014-09-16","0014-10-14","0014-09-16","0014-10-21",100,286,258,258,293
"20",20,"12651*D","Aesculus flava","0014-09-16","0014-10-14","0014-09-16","0014-10-21",100,286,258,258,293
"21",21,"1581-77*F","Quercus variabilis","0014-10-14","0014-10-14","0014-10-14","0014-10-14",49,286,286,286,286
"22",22,"1539-80*C","Sorbus yuana","0014-09-30","0014-11-11","0014-10-07","0014-10-29",74,314,272,279,301
"23",23,"1894-80*C","Sorbus yuana","0014-09-16","0014-11-11","0014-09-16","0014-11-11",100,314,258,258,314
"24",24,"1894-80*D","Sorbus yuana","0014-09-16","0014-10-21","0014-09-16","0014-10-21",100,293,258,258,293
"25",25,"1539-80*B","Sorbus yuana","0014-09-16","0014-10-29","0014-09-16","0014-11-04",100,301,258,258,307
"26",26,"13218*A","Gleditsia triacanthos","0014-09-16","0014-10-14","0014-09-16","0014-11-04",94,286,258,258,307
"27",27,"12221*A","Styph. japonicum","0014-09-16","0014-11-11","0014-09-16","0014-10-29",24,314,258,258,301
"28",28,"20101*A","Carya glabra","0014-09-16","0014-10-29","0014-10-07","0014-11-04",49,301,258,279,307
"29",29,"1199*J","Betula nigra","0014-09-16","0014-11-11","0014-09-16","0014-11-11",94,314,258,258,314
"30",30,"1199*D","Betula nigra","0014-09-16","0014-10-29","0014-09-16","0014-11-04",74,301,258,258,307
"31",31,"1251-79*A","Betula nigra","0014-09-16","0014-11-11","0014-09-23","0014-11-11",49,314,258,265,314
"32",32,"1251-79*B","Betula nigra","0014-09-16","0014-11-11","0014-09-23","0014-11-04",74,314,258,265,307
"33",33,"12843*A","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-04",100,301,258,258,307
"34",34,"12843*C","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-23","0014-11-04",100,301,258,265,307
"35",35,"12843*D","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-23","0014-11-04",100,301,258,265,307
"36",36,"12843*E","Betula alleghaniensis","0014-09-16","0014-10-29","0014-09-16","0014-11-11",100,301,258,258,314
"37",37,"12843*H","Betula alleghaniensis","0014-09-23","0014-10-29","0014-09-23","0014-11-11",100,301,265,265,314
"38",38,"1813-77*A","Zelkova serrata","0014-09-16","0014-11-11","0014-09-23","0014-10-29",74,314,258,265,301
"39",39,"1813-77*B","Zelkova serrata","0014-09-30","0014-11-11","0014-09-30","0014-11-04",49,314,272,272,307
"40",40,"1813-77*C","Zelkova serrata","0014-09-16","0014-11-11","0014-09-16","0014-11-04",74,314,258,258,307
"41",41,"1813-77*D","Zelkova serrata","0014-09-16","0014-11-11","0014-09-16","0014-11-04",74,314,258,258,307
"42",42,"1813-77*E","Zelkova serrata","0014-09-30","0014-11-11","0014-09-30","0014-10-29",49,314,272,272,301
"43",43,"1813-77*F","Zelkova serrata","0014-09-16","0014-11-11","0014-09-23","0014-11-04",74,314,258,265,307
