TreeName,Site,YearLastRing,Species,RingCount,DataType,OffsetToNext,ImageName,Analysis.Date.Time,PathLength,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861,1860,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850,1849,1848,1847,1846,1845,1844,1843,1842,1841,1840,1839,1838,1837,1836,1835,1834,1833,1832,1831,1830,1829,1828,1827,1826,1825,1824,1823,1822,1821,1820,1819,1818,1817,1816,1815,1814,1813,1812,1811,1810,1809,1808,1807,1806,1805,1804,1803,1802
12651*C,Arn Arboretum,2014,Aesculus flava,107,RINGWIDTH,1,Aesculus_flava_Jul2014001.tif,6/14/18,242.3742,0.286,0.595,0.634,0.859,0.686,0.57,0.774,0.937,0.785,1.06,0.551,0.729,1.242,1.318,0.587,0.56,0.391,0.914,1.371,0.659,1.108,0.507,0.621,1.141,1.836,1.805,0.744,0.685,0.69,0.375,0.278,0.292,0.41,0.236,0.178,0.265,0.236,0.276,0.526,0.472,0.515,0.705,0.64,1.216,0.57,1.155,1.547,1.213,0.65,1.289,1.824,1.154,0.783,1.587,2.12,1.777,1.745,1.824,1.969,1.048,1.455,2.46,1.278,1.139,0.852,1.805,2.277,1.472,1.109,0.901,1.03,1.774,2.052,1.517,1.948,1.877,1.859,1.691,1.745,1.92,1.959,2.062,2.088,1.303,2.056,2.598,1.807,1.911,2.941,2.124,2.39,3.157,1.769,2.054,1.866,1.589,2.219,2.189,1.621,1.442,1.967,2.831,1.79,3.191,2.474,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12651*H,Arn Arboretum,2014,Aesculus flava,104,RINGWIDTH,1,Aesculus_flava_Jul2014001.tif,6/14/18,235.8893,2.784,1.725,1.748,1.356,1.125,1.718,1.534,1.096,1.463,1.479,1.8,3.56,2.563,1.931,1.385,2.953,1.537,2.116,1.066,1.695,1.875,2.879,2.645,1.709,2.387,2.361,2.921,1.953,3.412,2.102,2.168,1.972,1.176,2.158,3.592,2.712,1.85,1.989,2.266,2.635,1.681,2.807,1.414,2.948,1.149,1.007,0.89,0.707,1.138,0.872,1.373,0.852,1.325,1.994,2.029,1.653,1.362,0.888,1.367,1.493,1.482,1.942,1.95,0.968,1.592,2.757,3.578,3.071,1.97,1.692,1.759,1.641,2.288,3.038,2.509,2.388,1.005,1.494,1.066,2.081,1.832,1.803,2.528,1.145,2.192,2.518,3.746,1.79,2.722,1.384,1.953,3.444,2.856,3.229,2.098,2.372,4.201,3.617,4.721,3.095,2.27,2.424,1.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12651*I,Arnold Arboretum,2014,Aesculus flava,101,RINGWIDTH,1,Aesculus_flava_Jul2014001.tif,6/14/18,292.1149,0.427,1.149,1.057,1.66,1.31,3.072,3.503,2.579,2.019,1.937,2.401,1.307,0.685,1.216,1.535,0.643,1.464,0.602,0.963,0.661,0.947,1.095,1.767,1.326,1.885,1.994,0.905,0.915,1.092,1.631,1.867,1.069,1.738,1.701,1.505,1.822,2.125,3.44,4.465,6.339,7.072,3.285,4.753,2.59,2.168,2.493,3.025,2.991,3.518,2.851,1.778,2.23,2.289,2.647,3.854,2.289,1.648,1.158,1.295,2.18,2.729,2.518,1.9,1.886,1.895,1.197,1.182,1.01,0.984,0.946,0.992,1.384,1.279,1.394,1.213,1.546,1.815,3.123,1.704,1.544,2.024,1.91,1.863,3.635,3.324,1.799,3.281,3.392,3.417,4.341,5.868,2.797,3.941,7.988,6.992,9.292,6.837,8.944,9.634,9.958,6.588,7.399,2.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
925-79*B,Arn Arboretum,2014,Aesculus flava,34,RINGWIDTH,1,Aesculus_flava_Jul2014001.tif,6/14/18,211.8834,2.024,4.188,3.297,2.814,2.442,4.431,4.176,3.596,6.085,2.054,9.939,8.234,5.716,4.639,4.862,7.118,2.543,3.384,2.088,2.883,7.26,2.589,2.943,3.368,10.591,2.764,0.785,3.96,4.712,2.186,2.362,2.728,3.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12843*A,Arnold Arboretum,2014,Betula alleghaniensis,92,RINGWIDTH,1,Betula_alleghaniensis_Jul2014001.tif,6/1/18,255.2177,1.163,1.299,1.117,0.691,1.017,1.603,1.781,2.441,2.176,1.949,2.643,2.135,1.346,0.929,4.519,1.227,2.349,0.849,0.95,0.787,1.542,1.23,1.67,1.421,2.3,2.429,1.352,1.646,2.553,2.053,1.159,1.939,3.643,2.371,2.089,2.346,2.368,2.773,2.153,2.73,3.139,4.827,3.164,1.747,2.342,2.338,4.699,3.49,1.099,0.867,0.993,1.756,1.817,2.243,2.329,2.536,1.287,1.644,2.158,2.918,2.243,1.27,1.404,2.181,1.181,1.914,3.095,2.772,2.783,3.88,2.436,1.802,1.42,1.706,2.666,2.878,4.909,4.508,4.074,4.995,3.461,3.053,2.416,3.812,7.098,6.613,7.416,9.131,9.434,2.412,6.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12843*C,Arn Arboretum,2014,Betula alleghaniensis,54,RINGWIDTH,1,Betula_alleghaniensis_Jul2014001.tif,6/1/18,126.6513,2.479,1.184,1.307,1.438,1.445,1.801,1.523,1.247,2.114,0.858,2.239,2.98,3.33,2.811,2.01,2.062,1.396,1.872,2.561,0.861,1.934,2.948,2.059,1.421,1.301,1.909,2.596,2.066,1.27,1.486,2.47,3.257,4.363,1.849,0.848,1.015,2.062,1.7,1.998,1.058,2.262,1.137,1.209,0.985,2.518,4.045,1.69,1.391,4.804,2.389,1.021,3.015,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12843*D,Arnold Arboretum,2014,Betula alleghaniensis,85,RINGWIDTH,1,Betula_alleghaniensis_Jul2014001.tif,6/1/18,278.0358,1.276,1.271,1.348,1.243,0.887,1.305,0.545,1.132,0.777,1.607,2.175,1.626,3.026,1.113,3.385,0.803,1.121,0.812,1.128,1.105,1.495,0.924,1.372,1.032,2.154,1.329,0.484,0.698,2.115,0.564,1.247,1.138,0.691,0.889,0.677,1.074,0.909,1.999,2.642,1.486,1.352,1.397,4.268,2.488,1.508,0.873,0.977,0.892,1.3,1.328,1.078,1.776,0.657,0.993,2.116,2.371,1.895,0.505,0.722,0.992,0.98,1.757,3.222,1.439,1.433,0.856,1.565,1.899,1.458,4.674,2.794,2.794,4.736,3.199,4.654,4.298,3.292,4.649,2.243,6.736,7.166,11.611,11.154,1.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12843*E,Arn Arboretum,2014,Betula alleghaniensis,97,RINGWIDTH,1,Betula_alleghaniensis_Jul2014001.tif,6/1/18,271.621,1.335,2.894,2.009,0.45,1.514,1.732,1.628,3.574,2.465,1.295,1.556,2.318,1.982,2.706,3.328,0.702,0.413,1.284,2.715,1.59,3.07,2.932,0.78,1.734,2.962,1.941,2.065,2.476,4.867,1.313,1.797,1.175,1.209,2.274,1.682,1.829,2.799,5.119,3.563,2.048,2.001,1.616,2.766,3.069,2.536,0.194,0.61,0.856,0.922,0.98,0.854,0.925,0.634,0.941,1.018,1.078,2.341,1.078,1.46,1.763,0.637,0.877,1.868,1.197,2.012,3.14,1.239,1.711,1.637,2.087,2.342,1.149,1.525,5.738,2.339,1.641,3.965,4.02,3.247,2.3,2.438,1.082,0.886,3.589,3.467,3.737,2.338,3.628,8.721,8.126,7.313,6.226,3.862,1.657,4.503,7.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12843*H,Arnold Arboretum,2014,Betula alleghaniensis,87,RINGWIDTH,1,Betula_alleghaniensis_Jul2014001.tif,6/1/18,263.6652,0.921,1.668,1.601,1.081,1.283,2.3,1.352,2.098,1.074,0.479,0.527,0.611,0.628,0.358,0.311,1.081,0.418,0.207,0.139,0.877,1.388,1.463,1.597,1.521,3.47,1.929,1.616,2.416,1.911,1.39,1.458,1.406,2.547,2.431,0.974,1.057,1.257,2.625,2.743,1.252,0.346,0.595,1.059,1.145,1.628,2.391,3.117,1.695,1.457,1.69,2.729,4.292,1.7,2.03,3.113,0.925,1.882,4.49,1.482,1.953,3.705,1.352,1.84,1.668,2.568,2.037,1.513,1.612,1.08,1.697,1.422,0.738,1.184,0.609,0.61,0.663,0.617,1.371,1.166,0.791,0.576,0.503,0.413,0.598,0.802,3.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629-83*D,Arn Arboretum,2014,Betula alleghaniensis,27,RINGWIDTH,1,Betula_alleghaniensis_Jul2014001.tif,6/1/18,192.0252,2.022,5.669,5.727,3.824,6.855,9.872,13.031,12.103,6.221,2.283,5.698,10.281,12.635,6.317,0.728,2.731,1.863,3.033,2.322,2.799,3.241,3.188,2.297,1.948,2.61,2.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
